stop_id,stop_code,stop_name,stop_lat,stop_lon,OSM_TAGs
0695,,22nd St @ Fowler Av,28.0536681,-82.4344859,shelter=no|bench=yes|shade=no
0881,,Fletcher Av @ Livingston Av,28.0693479,-82.4273233,shade=no|bench=no|shelter=no|note=field checked after upload
0886,,Fletcher Av @ 19th St,28.0693548,-82.4384759,shelter=no|bench=yes|shade=no
0887,,Fletcher Av @ Winward Dr,28.069281,-82.440081,FIXME=This bus stop could be redundant
0888,,Fletcher Av @ 15th St,28.0693436,-82.4435407,shade=no|shelter=no|bench=yes|route=2|note=there are trees behind this stopbut placement and size does not provide shade to stop except +/- 1 month of summer solstice
0889,,Fletcher Av @ Cecelia St,28.0693647,-82.4457456,shelter=no|bench=no|shade=trees
0890,,Fletcher Av @ 12th St,28.0693716,-82.4468122,
0931,,Fletcher Av @ 15th St,28.069095,-82.4430421,shelter=no|bench=yes|shade=no
0935,,Fletcher Av @ 19th St,28.0690732,-82.4387924,shelter=no|bench=yes|shade=trees
0936,,Fletcher Av @ 20th St,28.0690803,-82.4367754,
0937,,Fletcher Av @ 22nd St,28.0690737,-82.4347833,shelter=no|bench=yes|shade=no
0938,,Fletcher Av @ Livingston Av East,28.0690586,-82.4300563,shelter=yes|bench=yes|shade=trees
1322,,Westshore Blvd @ Westshore Circle,27.87337,-82.526816,FIXME=This bus stop could be redundant
1324,,Westshore Blvd @ Fairview Heights,27.878469,-82.52688,FIXME=This bus stop could be redundant
1515,,Sligh Av @ 50th St,28.0107619,-82.4015268,lit=no|bicycle_parking=no|waste_basket=no|surface=yes|shelter=no|bench=yes|timetable=no|source2=survey|shade=no
1522,,Sligh Av @ 22nd St,28.010711,-82.433788,
1597,,40th St @ Idlewild Av,28.001073,-82.414096,
1598,,40th St @ Paris St,28.002576,-82.414105,
1616,,Mckinley Dr @ Busch Blvd,28.0347829,-82.416404,
1617,,Mckinley Dr @ Linebaugh Av,28.039461,-82.4160607,
1618,,Mckinley Dr @ Bougainvillea Av,28.0443471,-82.4160499,
1619,,Mckinley Dr @ Fowler Av,28.0535886,-82.4160526,
1622,,Mckinley Dr @ Bougainvillea Av,28.044172,-82.4164683,
2012,,56th St @ Whiteway Dr,28.0477761,-82.3938577,
2020,,56th St @ Sewaha St,28.0344979,-82.3936005,
2021,,56th St @ Busch Blvd,28.0329931,-82.3936369,
2037,,Cypress St @ Willow Av,27.95203,-82.472955,
2040,,Cypress St @ Fremont Av,27.952094,-82.479026,
2088,,Cypress St @ Tampania Av,27.951995,-82.487209,
2096,,Cypress St @ Willow Av,27.951901,-82.472883,
2149,,Manhattan Av @ Fair Oaks Av,27.900554,-82.518468,
2281,,Henderson Blvd @ Sterling Av,27.935719,-82.503801,
2443,,Gibsonton Dr @ Gloria St,27.849854,-82.372652,route_ref=31
2448,,Gibsonton Dr @ Gloria St,27.849659,-82.373003,route_ref=31
2737,,Palm Av @ 15th St,27.9625874,-82.4421901,shelter=yes|bench=yes|shade=roof
2747,,Palm Av @ 15th St,27.962341,-82.4433381,shelter=yes|bench=yes|shade=roof
2940,,Nuccio Pkwy @ 7th Av,27.9605587,-82.4465664,
3086,,131St Av @ Bruce B Downs  @ Va Hosp,28.065459,-82.427307,lit=no|bicycle_parking=no|waste_basket=yes|surface=yes|shelter=yes|bench=yes|source_ref=http://www.flickr.com/photos/37017003@N06/4860741912/sizes/m/in/photostream/|timetable=yes|source2=survey|shade=roof
3104,,Alumni Dr @ Leroy Collins @Eng Bldg;Sheltered Bull Runner Bus Stop,28.0580349,-82.4160199,shelter=yes|bench=yes|shade=roof
3105,,Alumni Dr @ Laurel Dr;Bull Runner Bus Stop,28.0582059,-82.4184151,route_ref=5;D;E
3109,,Alumni Dr @ Leroy Collins@ Eng Bldg;Sheltered Bull Runner Bus Stop,28.057755,-82.4159264,shelter=yes|bench=yes|shade=roof
3110,,Holly Dr @ Magnolia Dr,28.06611,-82.4207497,route_ref=5;18;B;D
3111,,Holly Dr @ Cypress Dr,28.0661097,-82.42355,shelter=no|bench=yes|shade=no
3113,,Holly Dr @ Pine Dr @ Crosswalk,28.0656648,-82.4247329,shelter=yes|bench=yes|shade=roof
3114,,Holly Dr @ Magnolia Dr,28.0659893,-82.4207525,route_ref=5;D
3357,,Magnolia Dr @ Alumni Dr;Bull Runner Bus Stop,28.0589393,-82.4200778,route_ref=5;A|shade=roof|bench=yes|shelter=yes
3731,,Armenia Av @ Wishart Blvd,27.982894,-82.484566,
3903,,Marion St @ Whiting St,27.946308,-82.455488,route_ref=4;8;14;19;22;27;28;30;31;47
3907,,7th Av @ 15th St,27.9602183,-82.443092,shelter=no|bench=yes|shade=no
4126,,22nd St @ Fowler Av,28.0535805,-82.4347139,shelter=no|bench=yes|shade=no
4135,,22nd St @ North Bay St,27.983441,-82.434775,
4213,,Holly Dr @ Maple Dr;Bull Runner Bus Stop,28.065666,-82.4075048,route_ref=6;E|shade=no|bench=no|shelter=no
4217,,Holly Dr @ Maple Dr;Bull Runner Bus Stop,28.065795,-82.4074325,route_ref=6;A|shade=no|bench=no|shelter=no
4219,,Holly Dr @ Palm Dr;Sheltered Bull Runner Bus Stop,28.065806,-82.412027,shelter=yes|bench=yes|shade=trees
4237,,Marion Transit Center,27.954927,-82.458753,route_ref=20;23;50;51;59;200
4258,,Usf @ Administration Bldg,28.0607499,-82.4134114,shelter=yes|bench=yes|shade=roof
4273,,University Mall,28.057475,-82.436651,FIXME=This bus stop could be redundant
4341,,Westshore Plaza,27.948737,-82.525436,route_ref=30
4430,,Special Ops Command,27.852477,-82.488568,
4486,,Fletcher Av @ 12th St,28.0691089,-82.4474935,
4487,,Fletcher Av @ Cecelia St,28.0691018,-82.4456052,FIXME=This bus stop could be redundant
4488,,Fletcher Av @ Winward Dr,28.0690879,-82.4401345,shade=trees|bench=yes|shelter=no|route=2
4491,,131St Av @ 23Rd St,28.065432,-82.432457,FIXME=This bus stop could be redundant
4537,,40th St @ Jean St,28.003944,-82.414105,
4541,,Malcom McKinley Dr @ Busch Blvd,28.033566,-82.4160767,
4543,,Malcom McKinley Dr  @ D.O.T. Bldg,28.050535,-82.4160767,
4544,,Leroy Collins Blvd @ Alumni Dr,28.0579549,-82.4130076,shelter=no|bench=no|shade=no
4545,,Leroy Collins Blvd @ Elm Dr@Library,28.0599262,-82.4130699,shelter=no|bench=no|shade=no
4546,,Leroy Collins Blvd @  Alumni Dr,28.0573782,-82.4134803,shelter=no|bench=no|shade=no
4547,,Magnolia @ Medical Dr Traffic Light;Sheltered Bull Runner Bus Stop,28.0612272,-82.4194166,shelter=yes|bench=yes|surface=paved
4548,,Magnolia Dr @ Moffit Hospital,28.0643028,-82.4200456,shelter=no|bench=yes|route=5
4549,,Magnolia Dr @ Moffit Hospital,28.0638191,-82.4203033,shelter=no|bench=yes|note=route 5
4550,,Magnolia @ Medical Dr@Traffic Light;Bull Runner Bus Stop,28.0613536,-82.4196568,route_ref=5;A|shade=no|bench=no|shelter=no
4551,,Alumni Dr @ Laurel Dr,28.058051,-82.417802,shelter=no|bench=no|shade=no
4552,,Mckinley Dr @ Fowler Av,28.053456,-82.4164415,
4553,,Mckinley Dr @ D.O.T. Bldg,28.0509138,-82.4164844,
4555,,Mckinley Dr @ Linebaugh Av,28.0391769,-82.4164737,
4597,,50th St @ Terrace Palms Apts 11801,28.0570823,-82.401746,shelter=no|bench=yes|shade=no
4598,,50th St @ Sun Ridge Condos,28.0592351,-82.4016624,FIXME=This bus stop could be redundant|shade=no|shelter=no|bench=yes|note=Please add gtfs_id and operator after removing FIXME
4599,,50th St @ 127th Av,28.0624431,-82.4016819,shelter=no|bench=yes|shade=no
4600,,50th St @ Sycamore Dr,28.0634675,-82.4017881,shelter=no|bench=yes|shade=no
4601,,50th St @ Excellence Blvd,28.0662122,-82.4017507,shade=trees|shelter=no
4603,,Holly Dr @ Delta Apts,28.0658117,-82.4098151,route_ref=6;A|shade=trees|shelter=no|bench=no|note=metal tag with GTFS ID value is missing from post, value assigned is from the HART import
4604,,North Palm Dr @  Usf Credit Union,28.0671289,-82.4131028,shelter=yes|bench=yes|shade=roof
4607,,Fletcher Av @ Fmhi @ 31St St,28.0690267,-82.4230723,shelter=no|bench=yes|shade=no
4610,,Fletcher Av @ John Knox Village,28.0690007,-82.4168684,
4612,,N Palm @ Usf Credit Union,28.0678964,-82.4133332,shelter=yes|bench=yes|shade=roof
4613,,Holly Dr @ Cresent Parking Garage;Bull Runner Bus Stop,28.0659931,-82.4097355,note=metal tag with GTFS ID is missing, confirmed with HART that this is 4613 and the one east of here is really 4614 but is mistagged, HART will retag at some point|route_ref=6;C;E
4614,,Holly Dr @ Alpha Apts,28.0656169,-82.4094789,route_ref=6;C;E|shade=trees|shelter=no|bench=no|note=sign bears gtfs tag of 4613, did not match import, confirmed with HART that this is actually 4614, they will retag at some point
4616,,Holly Dr @ 50th St,28.0662779,-82.402486,
4617,,50th St @ 12850,28.0636523,-82.4019893,shelter=no|bench=yes|shade=no
4618,,50th St @ 127th Av,28.0624574,-82.4019984,shelter=no|bench=yes|shade=no
4619,,50th St @ Elm Dr,28.059304,-82.4019447,shelter=no|bench=yes|shade=no
4620,,50th St @ 122nd Av,28.0583594,-82.4019473,shelter=no|bench=yes|shade=no
4621,,50th St @ Terrace Palms Apts,28.0572161,-82.4019285,shelter=no|bench=yes|shade=no
4622,,Fowler Av @ 51St St,28.0542503,-82.4011161,timetable=yes|shade=no|bench=yes|shelter=no
4625,,56th St @ Temple Terrace City Hall,28.0502735,-82.3938604,
4656,,Fletcher Av @ Magnolia Dr N/S,28.0692585,-82.4200706,
4657,,Fletcher Av @ 31St St (Uch),28.0692777,-82.4234892,shelter=yes|bench=yes|shade=roof
4684,,22nd St @ Worthing Square Apts,28.063594,-82.434485,FIXME=This bus stop could be redundant
4706,,22nd St @ Worthing Square Apts,28.063647,-82.434598,FIXME=This bus stop could be redundant
4784,,Palm River Dr @ Coconut Dr,27.9411986,-82.375458,
4870,,Cypress St @ Edison Av,27.952023,-82.469719,
4974,,30th St @ Pine Dr,28.0559755,-82.4258316,shelter=yes|bench=yes|shade=roof
4975,,30th St @ Campus Hill Dr,28.060313,-82.425948,FIXME=This bus stop could be redundant
4977,,Bruce B Downs Blvd @ 132nd Av,28.0675147,-82.4262552,
4996,,Westshore Blvd @ Main St,27.957334,-82.523976,route_ref=15;30
5015,,Fletcher Av @ Railroad Crossing,28.069304,-82.4491452,
5312,,Sheldon Rd @ Bay Plaza,27.998305,-82.582978,
5341,,Sheldon Rd @ Hamilton Av,28.0152088,-82.5833878,
5348,,Sheldon Rd @ 7-11 Store,27.9992052,-82.5836033,
5349,,Hillsborough Av @ Ross Plaza,27.9965811,-82.5804276,
5350,,Hillsborough Av @ 8332,27.9965303,-82.5776419,
5470,,Gunn Hwy @ Premier North Dr,28.038544,-82.508288,route_ref=36;39;50
5588,,Providence Rd  @ Brandon  Blvd,27.936599,-82.314517,route_ref=31
5589,,Providence @ Plantation Key Apts,27.931744,-82.314504,route_ref=31
5606,,Providence @ Providence Pk Apts So,27.931689,-82.314322,route_ref=31
5607,,Providence @ Providence Pk  Apts No,27.932748,-82.31438,route_ref=31
5657,,Westshore Blvd @ Ohio Av,27.880202,-82.526923,FIXME=This bus stop could be redundant
5658,,Westshore Blvd @ Fairview Heights,27.878733,-82.526943,FIXME=This bus stop could be redundant
5659,,Westshore Blvd @ Westshore Cr,27.873547,-82.526971,FIXME=This bus stop could be redundant
5660,,Westshore Blvd @ Lookout Pointe,27.877274,-82.526959,FIXME=This bus stop could be redundant
5666,,Westshore Blvd @ Lookout Pointe Ap,27.877028,-82.526884,FIXME=This bus stop could be redundant
5667,,Westshore Blvd @ Ohio Av,27.880023,-82.526866,FIXME=This bus stop could be redundant
5747,,Sheldon @ N Hills Co Health Ctr,28.039039,-82.583033,
5769,,Sheldon Rd @ Sheldon Chase Dr,28.033824,-82.58274,
5771,,Sheldon @ N Hills Co Health Ctr,28.03904,-82.582607,
5798,,Tampa St @ Kennedy Blvd,27.947149,-82.458768,route_ref=96
5887,,Fletcher Av @ Livingston Av West,28.0690994,-82.4306787,shelter=no|bench=yes|shade=no
6255,,Anderson Rd @ Tampa West Blvd,28.019932,-82.534458,
6264,,50th St @ 122nd Av,28.0580575,-82.4017539,shelter=no|bench=yes|shade=no
6645,,Magnolia Dr @ Holly Dr,28.0668565,-82.4203244,shelter=yes|bench=yes|shade=roof
6682,,138th Av @ 19th St,28.072812,-82.438824,FIXME=This bus stop could be redundant
6832,,Zemke Av @ Centcom Av,27.860873,-82.491749,
6833,,Zemke Av @ Centcom Av,27.860915,-82.49153,
6903,,Fletcher Av @ 22nd St,28.0693436,-82.4350356,shelter=no|bench=yes|shade=no
6904,,Fletcher Av @ 20th St,28.0693311,-82.4363351,FIXME=This bus stop could be redundant|shade=no|shelter=no|bench=yes|note=Please add gtfs_id and operator after removing FIXME
6942,,Gray St @ Westshore Blvd,27.948457,-82.524362,route_ref=30;89
6981,,Dick Greco Plaza,27.941118,-82.45496,
