service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
C_55_121,1,1,1,1,1,1,1,20101204,20110331
POW,1,1,1,1,1,0,0,20101204,20110331
POW_101_2333,1,1,1,1,1,0,0,20101204,20110331
POW_-20101223,1,1,1,1,1,0,0,20101204,20101223
POW_20101224-_65_157,1,1,1,1,1,0,0,20101224,20110331
POW_20101224-_A_2294,1,1,1,1,1,0,0,20101224,20110331
POW_51_1012,1,1,1,1,1,0,0,20101204,20110331
POW_54_2329,1,1,1,1,1,0,0,20101204,20110331
POW_56_123,1,1,1,1,1,0,0,20101204,20110331
POW_57_1033,1,1,1,1,1,0,0,20101204,20110331
POW_59_132,1,1,1,1,1,0,0,20101204,20110331
POW_6_1667,1,1,1,1,1,0,0,20101204,20110331
POW_63_153,1,1,1,1,1,0,0,20101204,20110331
POW_64_155,1,1,1,1,1,0,0,20101204,20110331
POW_67_161,1,1,1,1,1,0,0,20101204,20110331
POW_71_174,1,1,1,1,1,0,0,20101204,20110331
POW_73_177,1,1,1,1,1,0,0,20101204,20110331
POW_75_187,1,1,1,1,1,0,0,20101204,20110331
POW_77_2327,1,1,1,1,1,0,0,20101204,20110331
POW_78_1014,1,1,1,1,1,0,0,20101204,20110331
POW_79_198,1,1,1,1,1,0,0,20101204,20110331
POW_87_1029,1,1,1,1,1,0,0,20101204,20110331
POW_B_2297,1,1,1,1,1,0,0,20101204,20110331
POW_C_2305,1,1,1,1,1,0,0,20101204,20110331
POWZ,1,1,1,1,1,0,0,20101204,20110331
POWZ_1_1006,1,1,1,1,1,0,0,20101204,20110331
POWZ_102_15,1,1,1,1,1,0,0,20101204,20110331
POWZ_103_21,1,1,1,1,1,0,0,20101204,20110331
POWZ_11_51,1,1,1,1,1,0,0,20101204,20110331
POWZ_12_61,1,1,1,1,1,0,0,20101204,20110331
POWZ_2_65,1,1,1,1,1,0,0,20101204,20110331
POWZ_3_70,1,1,1,1,1,0,0,20101204,20110331
POWZ_4_74,1,1,1,1,1,0,0,20101204,20110331
POWZ_5_2334,1,1,1,1,1,0,0,20101204,20110331
POWZ_7_2310,1,1,1,1,1,0,0,20101204,20110331
POWZ_8_2314,1,1,1,1,1,0,0,20101204,20110331
POWZ_9_1009,1,1,1,1,1,0,0,20101204,20110331
POWND,1,1,1,1,1,0,0,20101204,20110331
POWND_61_149,1,1,1,1,1,0,0,20101204,20110331
POWND_74_2373,1,1,1,1,1,0,0,20101204,20110331
POWNLW_53_2370,1,1,1,1,1,0,0,20101204,20110331
POWNLW_60_2339,1,1,1,1,1,0,0,20101204,20110331
POWS,1,1,1,1,1,0,0,20101204,20110331
POWS_-20101223,1,1,1,1,1,0,0,20101204,20101223
POWS_20101224-,1,1,1,1,1,0,0,20101224,20110331
POWNLS,1,1,1,1,1,0,0,20101204,20110331
POWNLS_107_40,1,1,1,1,1,0,0,20101204,20110331
POWNLSW_81_1525,1,1,1,1,1,0,0,20101204,20110331
SOB,0,0,0,0,0,1,0,20101204,20110331
SOBZ,0,0,0,0,0,1,0,20101204,20110331
NIE,0,0,0,0,0,0,1,20101204,20110331
SWI,0,0,0,0,0,1,1,20101204,20110331
SWI_-20101223,0,0,0,0,0,1,1,20101204,20101223
SWI_20101224-,0,0,0,0,0,1,1,20101224,20110331
SWIND,0,0,0,0,0,1,1,20101204,20110331
SWINDB,0,0,0,0,0,1,1,20101204,20110331
SWBN,0,0,0,0,0,1,1,20101204,20110331
NIEBN,0,0,0,0,0,0,1,20101204,20110331
NIEZ,0,0,0,0,0,0,1,20101204,20110331
NIEH,0,0,0,0,0,0,1,20101204,20110331
N,1,1,1,1,1,1,1,20101204,20110331
NCS,0,0,0,1,1,1,0,20101204,20110331
NCS_-20101223,0,0,0,1,1,1,0,20101204,20101223
NCS_20101224-,0,0,0,1,1,1,0,20101224,20110331
NNS,1,1,1,0,0,0,1,20101204,20110331
NNS_-20101223,1,1,1,0,0,0,1,20101204,20101223
NNS_20101224-,1,1,1,0,0,0,1,20101224,20110331
NS,0,0,0,0,0,1,0,20101204,20110331
