trip_id,start_time,end_time,headway_secs,exact_times
5269A227B246,07:35:00,19:40:00,3600,1
4879A227B246,08:02:00,17:02:00,3600,1
4961A227B246,08:00:00,16:50:00,3600,1
4892A227B246,08:00:00,16:55:00,3600,1
5209A228B246,09:00:00,11:55:00,3600,1
5208A228B246,14:00:00,16:55:00,3600,1
5218A227B246,08:16:00,17:10:00,3600,1
4894A228B246,08:16:00,12:10:00,3600,1
5219A228B246,13:16:00,16:10:00,3600,1
5220A228B246,06:30:00,17:53:00,1800,1
5232A227B246,18:30:00,21:53:00,3600,1
4900A227B246,06:25:00,18:25:00,1800,1
4899A227B246,06:00:00,17:53:00,1800,1
5233A228B246,18:30:00,21:53:00,3600,1
5231A228B246,06:55:00,18:25:00,1800,1
5234A227B246,18:55:00,22:25:00,3600,1
5235A228B246,18:55:00,22:25:00,3600,1
4901A227B246,08:00:00,11:23:00,3600,1
5246A227B246,14:00:00,16:23:00,3600,1
4902A227B246,14:28:00,16:53:00,3600,1
5247A227B246,08:28:00,11:53:00,3600,1
4904A227B246,05:45:00,17:12:00,1800,1
5248A227B246,17:45:00,20:12:00,3600,1
4905A227B246,06:15:00,17:40:00,1800,1
5250A228B246,07:15:00,17:42:00,3600,1
5252A227B246,18:15:00,19:40:00,3600,1
5253A228B246,07:45:00,18:10:00,3600,1
4906A227B246,08:00:00,11:55:00,1800,1
5254A227B246,13:00:00,16:55:00,1800,1
4908A230B246,06:15:00,19:40:00,1800,1
4910A230B246,07:55:00,09:47:00,3600,1
5260A230B246,20:15:00,22:40:00,3600,1
5259A230B246,19:45:00,23:13:00,3600,1
4907A230B246,06:15:00,19:13:00,1800,1
5255A229B246,13:15:00,17:40:00,3600,1
5256A229B246,08:15:00,11:40:00,3600,1
5258A229B246,13:45:00,15:13:00,3600,1
5257A229B246,07:45:00,12:13:00,3600,1
5264A227B246,09:55:00,17:47:00,1800,1
5265A228B246,09:55:00,12:47:00,3600,1
5266A228B246,13:55:00,17:47:00,3600,1
4913A229B246,10:40:00,14:36:00,3600,1
4915A227B246,07:35:00,20:30:00,3600,1
4916A228B246,08:35:00,12:30:00,3600,1
4918A228B246,07:35:00,12:30:00,3600,1
5270A228B246,13:35:00,17:30:00,3600,1
4919A227B246,06:55:00,20:50:00,3600,1
5271A228B246,13:55:00,14:50:00,3600,1
4920A228B246,07:55:00,12:50:00,3600,1
5272A228B246,13:55:00,17:50:00,3600,1
4930A227B246,06:35:00,20:30:00,3600,1
5281A228B246,13:35:00,17:30:00,3600,1
4931A228B246,07:35:00,12:30:00,3600,1
5283A227B246,07:55:00,20:50:00,3600,1
5284A228B246,13:55:00,17:50:00,3600,1
4933A228B246,07:55:00,12:50:00,3600,1
5268A228B246,13:35:00,16:30:00,3600,1
4922A227B246,07:55:00,20:50:00,3600,1
