stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1,SW 114 AV@QUAIL ROOST DR,SW 107TH AVE & SW 112TH ST,25.592446,-80.377954,,
2,SW 211 ST@OP S DADE GOVT CTR,,25.571949,-80.366648,,
3,US 1@SW 174 ST,,25.608124,-80.347631,,
4,BUSWAY@SW 152 ST,,25.628291,-80.341621,,
5,BUSWAY@SW 136 ST,,25.644519,-80.334092,,
6,DADELAND SOUTH STA@9150 DADELAND BD,,25.685035,-80.313665,,
7,DADELAND N STATION@BUS STOP AREA,,25.691337,-80.305895,,
10,BUSWAY@SW 136 ST,,25.644544,-80.334261,,
11,BUSWAY@SW 152 ST,,25.62821,-80.341854,,
13,SW 211 ST@SW 107 AV,,25.571932,-80.365829,,
16,N MIAMI AV@NW 167 ST,,25.92741,-80.200367,,
17,N MIAMI AV@NW 119 ST,,25.885099,-80.198518,,
18,NE 2 AV@NE 84 ST,,25.852506,-80.193067,,
19,NW 2 AV@NW 79 ST,,25.846865,-80.201053,,
20,NW 2 AV@NW 35 ST,,25.809733,-80.199471,,
22,NE 1 AV@NE 4 ST,,25.777782,-80.191912,,
24,OVERTOWN STA@550 NW 1 AV,,25.780869,-80.196474,,
25,NW 2 AV@NW 35 ST,,25.809888,-80.199301,,
26,NW 2 AV@NW 79 ST,,25.846698,-80.20087,,
27,NE 84 ST@NE 2 AV,,25.852353,-80.193231,,
28,N MIAMI AV@NE 119 ST,,25.884687,-80.198307,,
29,NE 167 ST@N MIAMI AV,,25.927942,-80.199976,,
30,NE 167 ST@NE 15 AV,NE 167TH ST,25.929251,-80.170447,,
31,HALLANDALE BEACH BD@NE 14 AV,,25.986013,-80.133876,,
32,BISCAYNE BD@NE 209 ST,,25.969326,-80.144565,,
34,AVENTURA MALL@FOOD COURT ENTRANCE,PARKING LOT,25.958105,-80.143002,,
35,BISCAYNE BD@NE 163 ST,,25.925406,-80.154255,,
36,BISCAYNE BD@NE 123 ST,,25.889105,-80.163964,,
