from_stop_id,to_stop_id,transfer_type,min_transfer_time
10221,10112,2,320
10212,10112,2,320
10221,10211,2,310
10212,10211,2,250
10211,10212,2,250
10212,10212,2,120
10112,10212,2,320
10221,10221,2,120
10311,10221,2,290
10112,10221,2,320
10211,10221,2,310
10421,10311,2,350
10311,10311,2,120
10434,10311,2,480
10221,10311,2,290
10441,10311,2,360
10412,10311,2,270
10411,10311,2,260
10431,10311,2,400
10442,10311,2,320
10451,10311,2,300
10421,10411,2,250
10412,10411,2,180
10511,10411,2,320
10311,10411,2,260
10451,10411,2,310
10441,10411,2,330
10434,10411,2,360
10431,10411,2,300
10432,10411,2,400
10422,10411,2,300
10411,10411,2,120
10442,10411,2,320
10435,10411,2,510
10432,10412,2,390
10412,10412,2,120
10311,10412,2,270
10451,10412,2,320
10441,10412,2,330
10421,10412,2,240
10442,10412,2,360
10431,10412,2,280
10422,10412,2,260
10435,10412,2,510
10511,10412,2,300
10411,10412,2,180
10311,10421,2,350
10412,10421,2,240
10511,10421,2,240
10435,10421,2,390
10451,10421,2,360
10441,10421,2,340
10411,10421,2,250
10431,10421,2,240
10432,10421,2,360
10422,10421,2,220
10442,10421,2,370
10421,10421,2,120
10434,10421,2,300
10422,10422,2,120
10434,10422,2,240
10511,10422,2,240
10435,10422,2,350
10451,10422,2,370
10441,10422,2,320
10421,10422,2,220
10442,10422,2,430
10412,10422,2,260
10411,10422,2,300
10432,10422,2,260
10431,10422,2,170
10432,10431,2,210
10311,10431,2,400
10431,10431,2,120
10435,10431,2,310
10451,10431,2,370
10422,10431,2,170
10434,10431,2,210
10411,10431,2,300
10421,10431,2,220
10441,10431,2,300
10511,10431,2,370
10412,10431,2,280
10442,10431,2,390
10431,10432,2,210
10432,10432,2,120
10441,10432,2,380
10442,10432,2,480
10422,10432,2,260
10421,10432,2,300
10451,10432,2,480
10435,10432,2,330
10511,10432,2,420
10434,10432,2,280
10412,10432,2,360
10411,10432,2,360
10432,10434,2,280
10311,10434,2,400
10434,10434,2,120
10435,10434,2,300
10451,10434,2,390
10442,10434,2,370
10441,10434,2,270
10421,10434,2,240
10411,10434,2,360
10412,10434,2,310
10431,10434,2,180
10422,10434,2,210
10511,10434,2,310
10412,10435,2,420
10432,10435,2,330
10422,10435,2,320
10431,10435,2,280
10441,10435,2,240
10451,10435,2,390
10421,10435,2,330
10434,10435,2,300
10411,10435,2,360
10435,10435,2,120
10442,10435,2,310
10451,10441,2,290
10442,10441,2,240
10422,10441,2,300
10431,10441,2,240
10411,10441,2,300
10311,10441,2,360
10434,10441,2,270
10412,10441,2,320
10435,10441,2,240
10432,10441,2,360
10311,10442,2,270
10434,10442,2,400
10412,10442,2,300
10441,10442,2,240
10411,10442,2,230
10451,10442,2,180
10431,10442,2,420
10432,10442,2,500
10422,10442,2,380
10421,10442,2,360
10435,10442,2,390
10434,10451,2,440
10311,10451,2,240
10435,10451,2,390
10441,10451,2,290
10451,10451,2,120
10411,10451,2,240
10422,10451,2,400
10431,10451,2,450
10432,10451,2,530
10442,10451,2,260
10412,10451,2,260
10421,10511,2,240
10511,10511,2,120
10422,10511,2,280
10432,10511,2,420
10411,10511,2,310
10434,10511,2,410
10412,10511,2,280
10431,10511,2,370
10611,10611,2,120
10811,10711,2,290
10711,10711,2,120
10731,10711,2,380
10843,10711,2,240
10812,10711,2,360
10842,10711,2,250
10721,10711,2,310
10813,10711,2,360
10711,10721,2,240
10731,10721,2,200
10843,10721,2,260
10842,10721,2,240
10711,10731,2,280
10721,10731,2,240
10731,10731,2,120
10831,10811,2,390
10832,10811,2,400
10811,10811,2,120
10711,10811,2,290
10814,10811,2,300
10821,10811,2,360
10843,10811,2,210
10812,10811,2,240
10813,10811,2,240
10842,10811,2,220
10822,10811,2,360
10841,10811,2,350
10821,10812,2,330
10842,10812,2,230
10831,10812,2,360
10711,10812,2,360
10822,10812,2,330
10843,10812,2,230
10832,10812,2,370
10814,10812,2,250
10812,10812,2,120
10813,10812,2,130
10841,10812,2,350
10811,10812,2,240
10842,10813,2,240
10711,10813,2,370
10813,10813,2,120
10821,10813,2,330
10841,10813,2,350
10843,10813,2,240
10831,10813,2,360
10814,10813,2,240
10812,10813,2,130
10811,10813,2,250
10822,10813,2,330
10832,10813,2,370
10821,10814,2,240
10843,10814,2,280
10812,10814,2,270
10841,10814,2,400
10832,10814,2,370
10811,10814,2,310
10822,10814,2,240
10842,10814,2,290
10831,10814,2,360
10813,10814,2,260
10843,10821,2,300
10842,10821,2,300
10841,10821,2,360
10821,10821,2,120
10814,10821,2,240
10822,10821,2,120
10831,10821,2,290
10813,10821,2,300
10832,10821,2,300
10812,10821,2,300
10811,10821,2,340
10814,10822,2,250
10821,10822,2,120
10812,10822,2,300
10841,10822,2,360
10822,10822,2,120
10813,10822,2,300
10811,10822,2,340
10831,10822,2,290
10832,10822,2,290
10812,10831,2,480
10813,10831,2,480
10814,10831,2,420
10821,10831,2,300
10843,10831,2,230
10832,10831,2,120
10842,10831,2,230
10822,10831,2,300
10811,10831,2,390
10831,10831,2,120
10841,10831,2,300
10811,10832,2,400
10841,10832,2,300
10822,10832,2,300
10842,10832,2,220
10831,10832,2,120
10843,10832,2,220
10821,10832,2,310
10814,10832,2,420
10813,10832,2,480
10832,10832,2,120
10812,10832,2,480
10812,10841,2,440
10711,10841,2,360
10821,10841,2,360
10811,10841,2,340
10843,10841,2,250
10814,10841,2,440
10832,10841,2,300
10841,10841,2,120
10813,10841,2,440
10721,10841,2,290
10831,10841,2,300
10842,10841,2,180
10822,10841,2,430
11111,10842,2,360
10821,10842,2,380
10843,10842,2,120
10711,10842,2,330
10832,10842,2,320
10841,10842,2,250
10813,10842,2,400
10831,10842,2,330
11112,10842,2,360
10811,10842,2,320
10822,10842,2,450
10721,10842,2,260
10812,10842,2,400
10842,10842,2,120
10814,10842,2,440
10814,10843,2,450
10831,10843,2,330
10813,10843,2,400
10832,10843,2,320
10843,10843,2,120
10811,10843,2,310
10841,10843,2,250
10711,10843,2,330
10812,10843,2,400
10721,10843,2,270
10842,10843,2,120
10918,10911,2,320
10915,10911,2,210
10917,10911,2,310
10913,10911,2,160
10912,10911,2,150
10911,10911,2,120
10916,10911,2,290
10914,10911,2,220
10916,10912,2,310
10911,10912,2,140
10918,10912,2,340
10913,10912,2,140
10917,10912,2,330
10915,10912,2,230
10912,10912,2,120
