route_id,service_id,trip_id,trip_headsign,block_id,shape_id,Direction
1,Sa2,704460,North to University Area TC,242481,26832,NORTH
1,Sa2,704461,North to University Area TC,242482,26832,NORTH
1,Sa2,704462,North to University Area TC,242483,26832,NORTH
1,Sa2,704463,North to University Area TC,242484,26832,NORTH
1,Sa2,704464,North to University Area TC,242485,26832,NORTH
1,Sa2,704465,North to University Area TC,242486,26832,NORTH
1,Sa2,704466,North to University Area TC,242482,26832,NORTH
1,Sa2,704467,North to University Area TC,242487,26832,NORTH
1,Sa2,704468,North to University Area TC,242484,26832,NORTH
1,Sa2,704469,North to University Area TC,242488,26832,NORTH
1,Sa2,704470,North to University Area TC,242486,26832,NORTH
1,Sa2,704471,North to University Area TC,242489,26832,NORTH
1,Sa2,704472,North to University Area TC,242487,26832,NORTH
1,Sa2,704473,North to University Area TC,242490,26832,NORTH
1,Sa2,704474,North to University Area TC,242488,26832,NORTH
1,Sa2,704475,North to University Area TC,242491,26832,NORTH
1,Sa2,704476,North to University Area TC,242489,26832,NORTH
1,Sa2,704477,North to University Area TC,242492,26832,NORTH
1,Sa2,704478,North to University Area TC,242490,26832,NORTH
1,Sa2,704479,North to University Area TC,242493,26832,NORTH
1,Sa2,704480,North to University Area TC,242491,26832,NORTH
1,Sa2,704481,North to University Area TC,242481,26832,NORTH
1,Sa2,704482,North to University Area TC,242492,26832,NORTH
1,Sa2,704483,North to University Area TC,242487,26832,NORTH
1,Sa2,704484,North to University Area TC,242491,26832,NORTH
1,Sa2,704485,North to University Area TC,242492,26832,NORTH
1,Sa2,704487,North to University Area TC,242493,26832,NORTH
1,Sa2,704488,North to University Area TC,242485,26832,NORTH
1,Sa2,704489,South to Downtown,242484,26833,SOUTH
1,Sa2,704490,South to Downtown,242483,26833,SOUTH
1,Sa2,704491,South to Downtown,242482,26833,SOUTH
1,Sa2,704492,South to Downtown,242481,26833,SOUTH
1,Sa2,704493,South to Downtown,242485,26833,SOUTH
1,Sa2,704494,South to Downtown,242493,26833,SOUTH
1,Sa2,704495,South to Downtown,242483,26833,SOUTH
1,Sa2,704496,South to Downtown,242492,26833,SOUTH
1,Sa2,704497,South to Downtown,242481,26833,SOUTH
1,Sa2,704498,South to Downtown,242491,26833,SOUTH
1,Sa2,704499,South to Downtown,242493,26833,SOUTH
1,Sa2,704500,South to Downtown,242490,26833,SOUTH
1,Sa2,704501,South to Downtown,242492,26833,SOUTH
1,Sa2,704502,South to Downtown,242489,26833,SOUTH
1,Sa2,704503,South to Downtown,242491,26833,SOUTH
1,Sa2,704504,South to Downtown,242488,26833,SOUTH
1,Sa2,704505,South to Downtown,242490,26833,SOUTH
1,Sa2,704506,South to Downtown,242487,26833,SOUTH
1,Sa2,704507,South to Downtown,242489,26833,SOUTH
1,Sa2,704508,South to Downtown,242486,26833,SOUTH
1,Sa2,704509,South to Downtown,242488,26833,SOUTH
1,Sa2,704510,South to Downtown,242484,26833,SOUTH
1,Sa2,704511,South to Downtown,242487,26833,SOUTH
1,Sa2,704512,South to Downtown,242482,26833,SOUTH
1,Sa2,704513,South to Downtown,242486,26833,SOUTH
1,Sa2,704514,South to Downtown,242485,26833,SOUTH
1,Sa2,704515,South to Downtown,242484,26833,SOUTH
1,Sa2,704516,South to Downtown,242482,26833,SOUTH
1,Sa2,704517,South to Downtown,242491,26833,SOUTH
1,Sa2,704518,South to Highland Ave. and MLK,242487,27070,SOUTH
1,Su2,704519,North to University Area TC,243896,26832,NORTH
1,Su2,704520,North to University Area TC,243898,26832,NORTH
1,Su2,704521,North to University Area TC,243900,26832,NORTH
1,Su2,704522,North to University Area TC,243901,26832,NORTH
1,Su2,704523,North to University Area TC,243899,26832,NORTH
1,Su2,704524,North to University Area TC,243902,26832,NORTH
1,Su2,704525,North to University Area TC,243898,26832,NORTH
1,Su2,704526,North to University Area TC,243897,26832,NORTH
1,Su2,704527,North to University Area TC,243901,26832,NORTH
1,Su2,704528,North to University Area TC,243896,26832,NORTH
1,Su2,704529,North to University Area TC,243902,26832,NORTH
1,Su2,704530,North to University Area TC,243900,26832,NORTH
1,Su2,704531,North to University Area TC,243897,26832,NORTH
1,Su2,704532,North to University Area TC,243899,26832,NORTH
1,Su2,704533,North to University Area TC,243896,26832,NORTH
1,Su2,704534,North to University Area TC,243898,26832,NORTH
1,Su2,704535,North to University Area TC,243900,26832,NORTH
1,Su2,704536,North to University Area TC,243901,26832,NORTH
1,Su2,704537,North to University Area TC,243899,26832,NORTH
1,Su2,704538,North to University Area TC,243902,26832,NORTH
1,Su2,704539,North to University Area TC,243898,26832,NORTH
1,Su2,704540,North to University Area TC,243897,26832,NORTH
1,Su2,704541,North to University Area TC,243901,26832,NORTH
1,Su2,704542,North to University Area TC,243896,26832,NORTH
1,Su2,704543,North to University Area TC,243902,26832,NORTH
1,Su2,704545,North to University Area TC,243897,26832,NORTH
1,Su2,704546,North to University Area TC,243896,26832,NORTH
1,Su2,704547,South to Downtown,243897,26833,SOUTH
1,Su2,704548,South to Downtown,243899,26833,SOUTH
1,Su2,704549,South to Downtown,243896,26833,SOUTH
1,Su2,704550,South to Downtown,243898,26833,SOUTH
1,Su2,704551,South to Downtown,243900,26833,SOUTH
1,Su2,704552,South to Downtown,243901,26833,SOUTH
1,Su2,704553,South to Downtown,243899,26833,SOUTH
1,Su2,704554,South to Downtown,243902,26833,SOUTH
1,Su2,704555,South to Downtown,243898,26833,SOUTH
1,Su2,704556,South to Downtown,243897,26833,SOUTH
1,Su2,704557,South to Downtown,243901,26833,SOUTH
1,Su2,704558,South to Downtown,243896,26833,SOUTH
1,Su2,704559,South to Downtown,243902,26833,SOUTH
1,Su2,704560,South to Downtown,243900,26833,SOUTH
1,Su2,704561,South to Downtown,243897,26833,SOUTH
1,Su2,704562,South to Downtown,243899,26833,SOUTH
1,Su2,704563,South to Downtown,243896,26833,SOUTH
1,Su2,704564,South to Downtown,243898,26833,SOUTH
1,Su2,704565,South to Downtown,243900,26833,SOUTH
1,Su2,704566,South to Downtown,243901,26833,SOUTH
1,Su2,704567,South to Downtown,243899,26833,SOUTH
1,Su2,704568,South to Downtown,243902,26833,SOUTH
1,Su2,704569,South to Downtown,243898,26833,SOUTH
1,Su2,704570,South to Downtown,243897,26833,SOUTH
1,Su2,704571,South to Downtown,243901,26833,SOUTH
1,Su2,704572,South to Downtown,243896,26833,SOUTH
1,Su2,704573,South to Downtown,243902,26833,SOUTH
1,Su2,704574,South to Highland Ave. and MLK,243897,27070,SOUTH
1,We2,704575,North to University Area TC,242501,26832,NORTH
1,We2,704576,North to University Area TC,242502,26832,NORTH
1,We2,704577,North to University Area TC,242503,26832,NORTH
1,We2,704578,North to University Area TC,242504,26832,NORTH
1,We2,704579,North to University Area TC,242505,26832,NORTH
1,We2,704580,North to University Area TC,242506,26832,NORTH
1,We2,704581,North to University Area TC,242507,26832,NORTH
1,We2,704582,North to University Area TC,242501,26832,NORTH
1,We2,704583,North to University Area TC,242502,26832,NORTH
1,We2,704584,North to University Area TC,242508,26832,NORTH
1,We2,704585,North to University Area TC,242509,26832,NORTH
1,We2,704586,North to University Area TC,242505,26832,NORTH
1,We2,704587,North to University Area TC,242510,26832,NORTH
1,We2,704588,North to University Area TC,242503,26832,NORTH
1,We2,704589,North to University Area TC,242501,26832,NORTH
1,We2,704590,North to University Area TC,242511,26832,NORTH
1,We2,704591,North to University Area TC,242506,26832,NORTH
1,We2,704592,North to University Area TC,242509,26832,NORTH
1,We2,704593,North to University Area TC,242504,26832,NORTH
1,We2,704594,North to University Area TC,242510,26832,NORTH
1,We2,704595,North to University Area TC,242503,26832,NORTH
1,We2,704596,North to University Area TC,242507,26832,NORTH
1,We2,704597,North to University Area TC,242511,26832,NORTH
1,We2,704598,North to University Area TC,242506,26832,NORTH
1,We2,704599,North to University Area TC,242508,26832,NORTH
1,We2,704600,North to University Area TC,242504,26832,NORTH
1,We2,704601,North to University Area TC,242510,26832,NORTH
1,We2,704602,North to University Area TC,242502,26832,NORTH
1,We2,704603,North to University Area TC,242507,26832,NORTH
1,We2,704604,North to University Area TC,242511,26832,NORTH
1,We2,704605,North to University Area TC,242505,26832,NORTH
1,We2,704606,North to University Area TC,242508,26832,NORTH
1,We2,704607,North to University Area TC,242504,26832,NORTH
1,We2,704608,North to University Area TC,242501,26832,NORTH
1,We2,704609,North to University Area TC,242502,26832,NORTH
1,We2,704610,North to University Area TC,242507,26832,NORTH
1,We2,704611,North to University Area TC,242509,26832,NORTH
1,We2,704612,North to University Area TC,242510,26832,NORTH
1,We2,704613,North to University Area TC,242508,26832,NORTH
1,We2,704614,North to University Area TC,242503,26832,NORTH
1,We2,704615,North to University Area TC,242511,26832,NORTH
1,We2,704616,North to University Area TC,242502,26832,NORTH
1,We2,704617,North to University Area TC,242506,26832,NORTH
1,We2,704618,North to University Area TC,242504,26832,NORTH
1,We2,704619,North to University Area TC,242508,26832,NORTH
1,We2,704620,North to University Area TC,242503,26832,NORTH
1,We2,704621,North to University Area TC,242501,26832,NORTH
1,We2,704623,North to University Area TC,242508,26832,NORTH
1,We2,704624,North to University Area TC,242501,26832,NORTH
1,We2,704625,North to University Area TC,242508,26832,NORTH
1,We2,704626,North to University Area TC,242501,26832,NORTH
1,We2,704627,South to Downtown,242510,26833,SOUTH
1,We2,704628,South to Downtown,242509,26833,SOUTH
1,We2,704629,South to Downtown,242501,26833,SOUTH
1,We2,704630,South to Downtown,242502,26833,SOUTH
1,We2,704631,South to Downtown,242503,26833,SOUTH
1,We2,704632,South to Downtown,242504,26833,SOUTH
1,We2,704633,South to Downtown,242505,26833,SOUTH
1,We2,704634,South to Downtown,242506,26833,SOUTH
1,We2,704635,South to Downtown,242507,26833,SOUTH
1,We2,704636,South to Downtown,242501,26833,SOUTH
1,We2,704637,South to Downtown,242502,26833,SOUTH
1,We2,704638,South to Downtown,242508,26833,SOUTH
1,We2,704639,South to Downtown,242509,26833,SOUTH
1,We2,704640,South to Downtown,242505,26833,SOUTH
1,We2,704641,South to Downtown,242510,26833,SOUTH
1,We2,704642,South to Downtown,242503,26833,SOUTH
1,We2,704643,South to Downtown,242501,26833,SOUTH
1,We2,704644,South to Downtown,242511,26833,SOUTH
1,We2,704645,South to Downtown,242506,26833,SOUTH
1,We2,704646,South to Downtown,242509,26833,SOUTH
1,We2,704647,South to Downtown,242504,26833,SOUTH
1,We2,704648,South to Downtown,242510,26833,SOUTH
1,We2,704649,South to Downtown,242503,26833,SOUTH
1,We2,704650,South to Downtown,242507,26833,SOUTH
1,We2,704651,South to Downtown,242511,26833,SOUTH
1,We2,704652,South to Downtown,242506,26833,SOUTH
