stop_id,stop_code,stop_name,stop_lat,stop_lon
3594,3594,Fowler Av @ 51St St,28.054575,-82.399757
3595,3595,Fowler Av @ 50th St,28.054577,-82.401516
4596,4596,Fowler Av @ 52nd St,28.05457,-82.397453
4597,4597,50th St @ Terrace Palms Apts 11801,28.056281,-82.401743
4598,4598,50th St @ Sun Ridge Condos,28.05849,-82.401762
4619,4619,50th St @ Elm Dr,28.058807,-82.401878
4620,4620,50th St @ 122nd Av,28.057297,-82.401878
4621,4621,50th St @ Terrace Palms Apts,28.05603,-82.40185
4622,4622,Fowler Av @ 51St St,28.054243,-82.400618
6264,6264,50th St @ 122nd Av,28.057385,-82.401752
7590,7590,56th St @ E Fowler Av,28.053579,-82.393908
7615,7615,Fowler Av @ 52nd St,28.054242,-82.397669
