stop_id,stop_code,stop_name,stop_lat,stop_lon
403,403,Nebraska Av @ Twiggs St,27.951797,-82.450892
405,405,Nebraska Av @ Maryland Av,27.95455,-82.451146
407,407,Nebraska Av @ Estelle St,27.958481,-82.451116
409,409,Nebraska Av @ 7th Av,27.960157,-82.451116
411,411,Nebraska Av @ 12th Av,27.963937,-82.451192
413,413,Nebraska Av @ 15th Av,27.966342,-82.451183
414,414,Nebraska Av @ 19th Av,27.968736,-82.451178
416,416,Nebraska Av @ 23Rd Av,27.97217,-82.451159
418,418,Nebraska Av @ 26th Av,27.974132,-82.45115
420,420,Nebraska Av @ Lake Av,27.97769,-82.451129
423,423,Nebraska Av @ North Bay St,27.983852,-82.451097
424,424,Nebraska Av @ Chelsea St,27.984984,-82.451094
427,427,Nebraska Av @ New Orleans Av,27.990083,-82.451097
429,429,Nebraska Av @ Mc Berry St,27.992712,-82.451102
430,430,Nebraska Av @ Frierson Av,27.994217,-82.451098
431,431,Nebraska Av @ Hillsborough Av,27.99578,-82.451076
433,433,Nebraska Av @ Powhattan Av,27.998681,-82.451168
435,435,Nebraska Av @ Henry Av,27.999928,-82.451193
436,436,Nebraska Av @ Idelwild Av,28.001858,-82.451239
437,437,Nebraska Av @ Hanna Av,28.003183,-82.451245
438,438,Nebraska Av @ Fern St,28.004934,-82.451267
439,439,Nebraska Av @ Lambright St,28.006811,-82.451266
440,440,Nebraska Av @ Knollwood St,28.008152,-82.451263
441,441,Nebraska Av @ Sligh Av,28.01048,-82.451226
442,442,Nebraska Av @ Flora St,28.012364,-82.451243
443,443,Nebraska Av @ Hamilton St,28.014291,-82.451237
444,444,Nebraska Av @ Broad St,28.015986,-82.451233
445,445,Nebraska Av @ Patterson Av,28.017832,-82.451226
446,446,Nebraska Av @ Hollywood St,28.019317,-82.451239
447,447,Nebraska Av @ Van Dyke Place,28.021031,-82.451214
448,448,Nebraska Av @ Bird St,28.022444,-82.451209
449,449,Nebraska Av @ Waters Av,28.024975,-82.451171
451,451,Nebraska Av @ Fairbanks St,28.026736,-82.451212
452,452,Nebraska Av @ Seward St,28.027704,-82.451218
453,453,Nebraska Av @ Yukon St,28.029168,-82.451212
454,454,Nebraska Av @ Humphrey St,28.030536,-82.45121
455,455,Nebraska Av @ Skagway Av,28.031937,-82.451106
456,456,Nebraska Av @ 93Rd Av,28.033487,-82.451168
457,457,Nebraska Av @ Richmere St,28.035271,-82.451163
458,458,Nebraska Av @ Castle Ct,28.036963,-82.451066
459,459,Nebraska Av @ Lotus Av,28.038313,-82.451145
460,460,Nebraska Av @ Linebaugh Av,28.039755,-82.45114
461,461,Nebraska Av @ Poinsettia Av,28.042352,-82.45112
462,462,Nebraska Av @ Bougainvillea Av,28.043437,-82.451109
463,463,Nebraska Av @ Chilkoot Av,28.044906,-82.451104
464,464,Nebraska Av @ 109th Av,28.047038,-82.451102
465,465,Nebraska Av @ 10921,28.04916,-82.451017
466,466,Nebraska Av @ Fowler Av,28.055107,-82.451019
468,468,Nebraska Av @ 120th Av,28.056774,-82.451086
