stop_id,stop_name,stop_lat,stop_lon
5370,Hillsborough Av @ 3918,27.995916,-82.511869
3282,Cleveland St @ Moody Av,27.943396,-82.483877
6874,Drew St @ Eddie C Moore Complex,27.968108,-82.717109
3281,Cleveland St @ Westland Av,27.943369,-82.481818
3284,Ferris Av @ Farwell  Dr,27.98235,-82.47945
5372,Hillsborough Av @ Church Av,27.995837,-82.507443
5371,Hillsborough Av @ 3902,27.99589,-82.510056
3285,Ferris Av @ Wishart Blvd,27.982627,-82.483843
5375,Hillsborough Av @ Berry Av,27.995817,-82.473852
3278,Cleveland St @ Packwood Av,27.943324,-82.477704
5368,Hillsborough Av @ Hesperides St,27.995974,-82.518818
5369,Hillsborough Av @ Bally 4402,27.995967,-82.516195
2950,Nuccio Pkwy @ Nebraska Av,27.953391,-82.450862
1821,Dale Mabry Hwy @ Corona St,27.914038,-82.506107
1822,Dale Mabry Hwy @ El Prado Blvd,27.911767,-82.506163
2955,20th St @ Waters Av,28.02569,-82.436615
1820,Dale Mabry Hwy @ San Luis St,27.915722,-82.50608
2954,Nuccio Pkwy @ 7th Av,27.959949,-82.446539
1825,Dale Mabry Hwy @ Gandy Blvd,27.895119,-82.506401
0708,22nd St @ Rae Ct,28.079114,-82.434565
2957,20th St @ Seward St,28.02818,-82.436625
1826,Dale Mabry Hwy @ Paxton Av,27.888117,-82.506511
2956,20th St @ Fairbanks St,28.026758,-82.436615
1823,Dale Mabry Hwy @ Cam St,27.903996,-82.506337
2959,20th St @ Eskimo Av,28.029719,-82.436807
1824,Dale Mabry Hwy @ Fair Oaks Av,27.901873,-82.50632
0705,22nd St @ Aimee Ct,28.078308,-82.434707
2958,20th St @ Eskimo Av,28.029538,-82.436625
1829,Dale Mabry Hwy @ Wallace Av,27.885502,-82.506551
0703,22nd St @ Fletcher Av,28.068897,-82.434525
0702,22nd St @ 133Rd Av,28.068131,-82.434484
1828,Dale Mabry Hwy @ Rogers Av,27.886963,-82.50653
0701,22nd St @ 132nd Av,28.067261,-82.434484
5361,Hillsborough Av @ 7620,27.996495,-82.566679
3295,Howard Av @ Southview Av,27.930213,-82.483097
3294,Howard Av @ Dekle Av,27.928855,-82.483127
5363,Hillsborough Av @ Sawyer Rd,27.996426,-82.557181
5362,Hillsborough Av @ 7012,27.996439,-82.559243
5365,Hillsborough Av @ Benjamin Rd,27.99622,-82.542264
5364,Hillsborough Av @ Golden Dr,27.996397,-82.553123
3298,Howard Av @ Morrison Av,27.933592,-82.482947
3297,Howard Av @ Watrous Av,27.93188,-82.482977
5366,Hillsborough Av @  5556,27.9962,-82.537742
3296,Howard Av @ Marjory Av,27.93092,-82.483057
2940,Nuccio Pkwy @ 7th Av,27.960565,-82.446509
6879,Mccormick Dr @ Wright Cr,28.062213,-82.646182
2944,Nuccio Pkwy @ 7th Av Ns,27.960438,-82.446843
6876,Temple Terrace Hwy @ Hamilton Hills,28.03277,-82.361743
2943,Nuccio Pkwy @ 7th Av Ss,27.959723,-82.446934
6878,Linebaugh Av @ Montague St,28.045057,-82.598785
1810,Dale Mabry Hwy @ Inman Av,27.935853,-82.505835
6877,56th St @ 127th Av,28.062118,-82.393488
2941,Nuccio Pkwy @ Palm Av,27.96224,-82.44654
0717,22nd St @ 131St Av,28.065156,-82.434615
2947,Nuccio Pkwy @ Nebraska Av,27.95399,-82.450651
1813,Dale Mabry Hwy @ Angeles St,27.927606,-82.505919
2946,Nuccio Pkwy @ Scott Dr,27.956888,-82.447845
1814,Dale Mabry Hwy @ San Nicholas St,27.925758,-82.505943
1815,Dale Mabry Hwy @ San Carlos St,27.924018,-82.505965
1816,Dale Mabry Hwy @ Barcelona St,27.921928,-82.506002
1817,Dale Mabry Hwy @ Bay To Bay Blvd,27.920009,-82.506022
1818,Dale Mabry Hwy @ San Juan St,27.918512,-82.506036
0715,22nd St @ Fletcher Av,28.069661,-82.434677
1819,Dale Mabry Hwy @ Obispo St,27.917004,-82.50607
6081,Hanna Av @ Hesperides St,28.003771,-82.519312
6891,Waters Av @ Sheldon Rd,28.02581,-82.582524
5355,Webb Rd @ Town N Country Medical Pl,28.002564,-82.575049
6892,56th St @ 127th Av,28.061211,-82.393806
2980,34th St @ Lindell Av,27.979982,-82.422315
6889,Linebaugh Av @ Montague St,28.044785,-82.598868
2975,34th St @ 24th Av,27.972505,-82.422339
1843,Kennedy Blvd @ Delaware Av,27.944704,-82.470041
2974,34th St @ 22nd Av,27.971559,-82.422266
1844,Kennedy Blvd @ Willow Av,27.944727,-82.472379
2977,34th St @ 28th Av,27.975834,-82.422296
1841,Kennedy Blvd @ Brevard Av,27.94473,-82.466349
2976,34th St @ 26th Av,27.973992,-82.422354
1842,Kennedy Blvd @ N Boulevard,27.944707,-82.468349
5346,Sheldon Rd @ Island Club Apt Ss,28.004392,-82.583481
2973,34th St @ 21St Av,27.969521,-82.422267
5347,Sheldon Rd @ Mohr Rd,28.003015,-82.583499
2972,34th St @ 18th Av,27.968113,-82.422307
1849,Kennedy Blvd @ Howard Av,27.944812,-82.482788
2979,34th St @ 32nd Av,27.979163,-82.422381
1847,Kennedy Blvd @ Fremont Av,27.944775,-82.478777
2978,34th St @ Lake Av,27.977617,-82.422363
1848,Kennedy Blvd @ Albany Av,27.944796,-82.480859
1845,Kennedy Blvd @ Oregon Av,27.94474,-82.474568
1846,Kennedy Blvd @ Rome Av,27.94476,-82.476655
5343,Sheldon Rd @ Westbay Blvd,28.010884,-82.583409
5342,Sheldon Rd @ Flora St,28.013147,-82.583332
5345,Sheldon Rd @ Island Club Apts Ns,28.00479,-82.583481
2100,Manhattan Av @ Rembrandt Dr,27.872598,-82.518561
5344,Sheldon Rd @ Brennan Circle,28.008326,-82.583408
5340,Sheldon Rd @ Broad St,28.017071,-82.583324
1830,Dale Mabry Hwy @ Oklahoma Av,27.884108,-82.506566
6898,Florida Av @ 111th Av,28.049842,-82.459328
5339,Sheldon Rd @ Patterson St,28.018511,-82.583304
1831,Dale Mabry Hwy @ Wisconsin Av,27.881738,-82.506663
1832,Dale Mabry Hwy @ Iowa Av,27.881122,-82.506662
1833,Dale Mabry Hwy @ Bay Av,27.879188,-82.506608
6899,Florida Av @ 115th Av,28.052411,-82.459314
5335,Waters Av @ River Oaks Dr,28.026088,-82.579686
2962,20th St @ Waters Av,28.025527,-82.436807
5336,Sheldon Rd @ Waters Av,28.024824,-82.583211
2961,20th St @ Fairbanks St,28.027012,-82.436807
5337,Sheldon Rd @ Woodlake Blvd,28.022821,-82.583265
2960,20th St @ Seward St,28.028379,-82.436807
5338,Sheldon Rd @ Crown Blvd,28.019991,-82.583282
1839,Kennedy Blvd @ Hyde Park Av,27.945778,-82.46349
1835,Dale Mabry Hwy @ Mango Av,27.875198,-82.50653
1836,Dale Mabry Hwy @ Interbay Blvd,27.872833,-82.506514
7597,Henderson Rd @ Logan Gate Blvd,28.057968,-82.549643
7598,Henderson Rd @ Logan Gate Blvd,28.057207,-82.549916
7599,Himes Av @ W Hamilton Av,28.014261,-82.500872
7593,Manhattan Av @ Fair Oaks Av,27.900871,-82.518223
5333,Waters Av @ Flowerfield Dr,28.026063,-82.574006
3242,Bay To Bay Blvd @ MacDill Av,27.919771,-82.49341
5334,Waters Av @ Shell Dr,28.026117,-82.576465
7594,Tampa St @ Scott St,27.956487,-82.461008
3243,Bay To Bay Blvd @ Esperanza Av,27.919774,-82.495264
7595,West Tampa Transfer Center,27.977701,-82.501088
5331,Bj'S @ Waters Av @ Hanley Rd,28.026041,-82.564447
3244,Bay To Bay Blvd @ Ferdinand Av,27.919782,-82.496979
7596,Himes Av @ Ohio Av @ Bus Bay,27.97771,-82.501301
5332,Waters Av @ Beasley Rd,28.026034,-82.567385
7591,Bell Shoals Rd @ Rosemead Lane,27.886833,-82.269378
7592,Manhattan Av @ Wallcraft Av,27.903217,-82.518347
3235,78th St @ 35th Av,27.916621,-82.368781
2103,Manhattan Av @ Iowa Av,27.880783,-82.518454
5327,Waters Av @ Pinehurst Dr,28.025797,-82.571631
0743,22nd St @ 31St Av,27.978556,-82.434807
2992,34th St @ Chipco St,27.975637,-82.4224
3234,78th St @ 34th Av,27.917853,-82.368791
2104,Manhattan Av @ Coolidge Av,27.88272,-82.518432
0744,22nd St @ Lake Av,27.977283,-82.43481
2993,34th St @ 26th Av,27.974235,-82.422398
2101,Manhattan Av @ Mango Av,27.875669,-82.518554
5325,Waters Av @ Riverwood Blvd,28.025814,-82.579727
0741,22nd St @ M L King Jr Blvd,27.982085,-82.434818
2994,34th St @ 24th Av,27.972755,-82.422395
2102,Manhattan Av @ Bay Av,27.87913,-82.518527
5324,Sheldon Rd @ Waters Av,28.026263,-82.582839
2995,34th St @ 22nd Av,27.97138,-82.422387
3239,78th St @ Madison Av,27.898586,-82.368746
2107,Manhattan Av @ Pearl Av,27.88746,-82.51839
2996,34th St @ 18th Av,27.968447,-82.422426
3238,78th St @ 49th Av,27.903767,-82.368741
2997,Columbus Dr @ 13th St,27.966889,-82.445396
2105,Manhattan Av @ Oklahoma Av,27.883735,-82.51843
2998,Columbus Dr @ 12th St,27.966899,-82.447026
2106,Manhattan Av @ Wallace Circle,27.885136,-82.51832
2999,Columbus Dr @ 10th St,27.966914,-82.449082
7588,Dale Mabry Hwy @ Pinewood St,27.868765,-82.506501
3250,Bay To Bay Blvd @ Sterling Av,27.919668,-82.503627
7589,Dale Mabry Hwy @ Pinewood St,27.868928,-82.506157
3251,Bay To Bay Blvd @ Himes Av,27.91966,-82.501947
7586,Harney Rd @ Netpark Transfer Center,27.989436,-82.390944
7587,Netpark Transfer Center,27.989935,-82.391552
2120,Manhattan Av @ Vasconia St,27.912367,-82.517829
3254,Bay To Bay Blvd @ Ferdinand Av,27.919645,-82.49717
5320,Sheldon Rd @ 7301,28.0166,-82.582965
2991,34th St @ Lake Av,27.978096,-82.422525
3255,Bay To Bay Blvd @ Esperanza Av,27.91965,-82.4955
5321,Sheldon Rd @ Crown Blvd,28.019969,-82.58295
2990,34th St @ Lindell Av,27.980217,-82.422459
7585,Dale Mabry Hwy @ Watrous Av,27.931832,-82.505883
2122,Manhattan Av @ San Luis St,27.915582,-82.517771
3252,Bay To Bay Blvd @ Malijo Av,27.919652,-82.50058
7582,56th St @ Mission Hills Av,28.03996,-82.393682
5322,Sheldon Rd @ Faith Outreach Ctr,28.018185,-82.582987
2121,Manhattan Av @ Corona St,27.91408,-82.5178
3253,Bay To Bay Blvd @ Concordia Av,27.919662,-82.49889
7583,56th St @ 98th Av,28.03843,-82.393633
5323,Sheldon @  8023 Sheldon Shore Apts,28.022921,-82.582925
7580,Burnett Pk Pnr @Cr579 @ Clay Pit Rd,27.988445,-82.302449
2989,34th St @  M L King Jr Blvd,27.98125,-82.422487
2112,Manhattan Av @ Gandy Blvd,27.89451,-82.518384
3248,Bay To Bay Blvd @ Sterling Av,27.91982,-82.505035
5314,Sheldon Rd @ 6201,28.005113,-82.58311
2983,34th St @ Emma St,27.985925,-82.422405
0753,22nd St @ Chapin St,27.943709,-82.434795
2113,Manhattan Av @ Aegean Dr,27.89694,-82.518311
3247,Bay To Bay Blvd @ Himes Av,27.919824,-82.501798
5313,Sheldon Rd @ Mohr Rd,28.002644,-82.583123
2984,34th St @ Osborne Av,27.988629,-82.422381
0754,22nd St @ Flagler St,27.941635,-82.434795
3246,Bay To Bay Blvd @ Malijo Av,27.91979,-82.500055
5316,Sheldon Rd @ Mayflower Rd,28.008513,-82.583052
2981,34th St @ North Bay St,27.982898,-82.422315
0755,22nd St @ Oakwood Av,27.939642,-82.434775
2115,Manhattan Av @ La Villa Lane,27.898443,-82.518332
3245,Bay To Bay Blvd @ Concordia Av,27.919792,-82.4986
5315,Sheldon Rd @ 6309,28.005542,-82.583088
2982,34th St @ Genessee St,27.984519,-82.422325
5318,Sheldon Rd @ Orville Lane,28.013059,-82.582999
2987,34th St @ Genessee St,27.984519,-82.422507
5317,Sheldon Rd @ Fountain Av,28.010496,-82.583066
2988,34th St @ North Bay St,27.983143,-82.422497
2118,Manhattan Av @ Bay View Av,27.904929,-82.518348
2985,34th St @ Lila St,27.988223,-82.422537
2119,Manhattan Av @ Bay  Vista Av,27.907022,-82.517986
5319,Sheldon Rd @ 7201,28.014888,-82.582962
2986,34th St @ Emma St,27.985869,-82.422517
7571,E Davis Blvd @ Barbados Av,27.927015,-82.453713
5311,Hillsborough Av @ 8327,27.996808,-82.577021
7572,St Joseph'S Hospital North,28.129602,-82.5075
7573,Mt Zion Assembly Of God  Pnr,28.029546,-82.157672
5310,Hillsborough Av @ Buccaneer Square,27.996843,-82.579724
7575,Adamo Dr @ 50th St,27.952208,-82.402689
7576,Northwest Transfer Center,28.028126,-82.584433
7577,S Manhattan Av @ W Bay Vista Av,27.90675,-82.518259
7578,S Manhattan Av @ Oakellar Av,27.896604,-82.518492
1809,Dale Mabry Hwy @ Swann Av,27.93775,-82.505824
7570,E Davis Blvd @ Bosphorous Av,27.929053,-82.455525
0725,22nd St @ Bougainvillea Av,28.043693,-82.434643
1808,Dale Mabry Hwy @ Dale Av,27.939531,-82.505808
1807,Dale Mabry Hwy @ Azeele St,27.94127,-82.505799
0723,22nd St @ 109th Av,28.047312,-82.434633
1806,Dale Mabry Hwy @ Cleveland St,27.943063,-82.50578
0724,22nd St @ Marvy Av,28.04578,-82.43464
1805,Dale Mabry Hwy @ Roland St,27.944025,-82.505782
1804,Dale Mabry Hwy @ North B St,27.946791,-82.505793
1803,Dale Mabry Hwy @ Gray St,27.948947,-82.505781
1802,Dale Mabry Hwy @ Cass St,27.950178,-82.505769
0727,22nd St @ Diana St,28.007188,-82.434802
1801,Dale Mabry Hwy @ State St,27.951621,-82.505761
7569,Danube Av @ Chesapeake Av,27.924415,-82.453297
1800,Dale Mabry Hwy @ Grace St,27.952841,-82.50577
2127,Manhattan Av @ Palmira Av,27.922775,-82.517725
2125,Manhattan Av @ Bay To Bay Blvd,27.9197,-82.517747
3256,Bay To Bay Blvd @ MacDill Av,27.919628,-82.49386
0722,22nd St @ 111th Av,28.049577,-82.434708
2126,Manhattan Av @ Granada St,27.92121,-82.51771
2123,Manhattan Av @ Obispo St,27.91698,-82.51775
0720,22nd St @ 115th Av,28.051947,-82.434624
2124,Manhattan Av @ San Juan St,27.91838,-82.51778
2142,Manhattan Av @ Leona St,27.915394,-82.517977
7562,Floribraska Av @ Central Av,27.970961,-82.455462
3276,Cleveland St @ Dakota Av,27.943286,-82.475554
7563,Floribraska Av @ Florida Av,27.97097,-82.459331
2141,Manhattan Av @ Lumb Av,27.91702,-82.51796
7560,Southshore Service Ctr Express Stop,27.715794,-82.393027
2144,Manhattan Av @ Vasconia St,27.912572,-82.518018
5300,Town N Country Blvd @ Paula Av,27.998968,-82.568722
3274,Cleveland St @ Delaware Av,27.94322,-82.470489
7561,Floribraska Av @ Nebraska Av,27.970853,-82.451563
3275,Cleveland St @ Willow Av,27.943245,-82.472519
3272,Cleveland St @ Fielding Av,27.943204,-82.467561
7567,Cypress St @ Ins/Homeland Security,27.95241,-82.540596
3273,Cleveland St @ Edison Av,27.943213,-82.469463
7564,Floribraska Av @ Central Av,27.970798,-82.455371
3270,Cleveland St @ Magnolia Av,27.943181,-82.465631
7565,Floribraska Av @ Nebraska Av,27.97069,-82.451249
0734,22nd St @ Shadowlawn Av,27.993441,-82.434853
0737,22nd St @ Osborne Av,27.988968,-82.434775
0738,22nd St @ Chelsea St,27.985279,-82.434773
7559,Cypress Villagel@ Upper Creek (Ccp),27.717581,-82.378174
2139,Manhattan Av @ Bay To Bay Blvd,27.919414,-82.517907
7558,Cypress Village @ Upper Creek (Ccp),27.717735,-82.377851
7557,N Pebble Beach Bl @ Sun City Center,27.71712,-82.353841
2134,Manhattan Av @ Minnehaha St,28.008699,-82.517442
0730,22nd St @ Idlewild Av,28.001583,-82.434843
2135,Manhattan Av @ Lambright St,28.007277,-82.517451
0731,22nd St @ Henry Av,27.99981,-82.434753
2136,Manhattan Av @ North St,28.005892,-82.51746
0732,22nd St @ Hillsborough Av,27.996819,-82.434786
2137,Manhattan Av @ Hanna Av,28.003918,-82.517468
3267,Bearss Av @ 22nd St,28.080264,-82.43491
0733,22nd St @ Giddens Av,27.995398,-82.434779
0786,15th St @ Hanna Av,28.003168,-82.442846
0785,15th St @ Idlewild Av,28.001492,-82.442856
0788,15th St @ Diana St,28.007252,-82.442866
2147,Manhattan Av @ Wallcraft Av,27.903394,-82.51847
0787,15th St @ North St,28.005033,-82.442846
0782,15th St @ Hillsborough Av,27.995588,-82.442845
2149,Manhattan Av @ Fair Oaks Av,27.900554,-82.518468
0781,15th St @ Frierson Av,27.994129,-82.442855
