stop_id,stop_name,stop_lat,stop_lon
1390_merged_87104,PALMER BV @ ADRIAN AV,27.326727,-82.461893
2974_merged_90189,US 41 S @ SR 776,27.049843,-82.405656
3829_merged_86969,PRICE BLVD @ RACE ST,27.069495,-82.203137
3590_merged_87802,SWIFT RD @ MOSS OAK DR,27.293405,-82.514215
3806_merged_87210,GULF OF MEXICO BV @ PROMENADE,27.349509,-82.606841
53_merged_89179,RINGLING BV @ BRIGGS AV,27.336382,-82.516194
4107_merged_90329,US 41 N @ PEARL AVE MANATEE,27.411569,-82.571901
3274_merged_89484,BUS 41 @ GULF WIND MARIANA,27.079431,-82.43205
2606_merged_89627,BARCELONA AV@ CADIZ RD,27.101138,-82.458405
2854_merged_89250,MERIDIAN RD @ SOUTH VENICE BV,27.043473,-82.417534
3587_merged_87660,BEE RIDGE RD@ PINE RIDGE,27.298825,-82.524884
4154_merged_89583,WEBBER ST @ BENEVA RD EASTBOUND,27.30818,-82.498082
3229_merged_89126,BEN FRANKLIN @ HELMSLEY HOTEL,27.303493,-82.57038
2855_merged_87156,S VENICE BV @ ZENITH RD,27.043855,-82.416496
3439_merged_90082,PRICE BV @ HIGH SCHOOL,27.073426,-82.227962
3592_merged_89836,SWIFT RD @ MANOR CARE,27.273923,-82.514081
159_merged_89215,BENEVA RD @ BENEVA WOODS BV,27.274217,-82.497589
1651_merged_90438,SWIFT RD @ NASSAU ST,27.289476,-82.514198
3552_merged_88145,AIRPORT CIR @ UNIVERSITY PW,27.382286,-82.552422
2618_merged_87680,E VENICE AV @ CHERRY ST,27.099638,-82.42146
3852_merged_87633,GREENWOOD AVE @ SABLE TRACE DR,27.044545,-82.229432
2145_merged_89475,MIDNIGHT PASS RD @ WINDSONG LN,27.263889,-82.542256
2818_merged_88687,E VENICE AV @ EAST GATE DR,27.099809,-82.424377
3416_merged_90558,DESOTO RD @ SARASOTA LAKES BL,27.381794,-82.53699
1157_merged_89164,US 301 @ 57TH ST,27.383409,-82.530757
4093_merged_89695,26TH ST W @ 57TH AVE W MANATEE,27.440427,-82.58776
3943_merged_87928,US 41 N @ PONCE DE LEON ST,27.405254,-82.568064
755_merged_89650,BEE RIDGE RD @ WHIPPOORWILL CR,27.298756,-82.521715
2684_merged_86724,US 41 S @ ENGLEWOOD RD,27.050261,-82.406121
1292_merged_90500,LONGWOOD RUN BV @ MONTE ROSSO RD,27.38234,-82.481143
1406_merged_90283,CATTLEMEN RD @ BEE RIDGE RD,27.298236,-82.451624
4091_merged_87604,26TH ST W @ 55TH AVE W MANATEE,27.4442,-82.587729
2693_merged_88988,S VENICE BV @ POMPANO RD,27.045599,-82.413552
2646_merged_88128,MANATEE COMMUNITY COLLEGE,27.042365,-82.315213
1148_merged_86934,OSPREY AV @ LAUREL RD,27.332518,-82.534333
4097_merged_89699,60TH AVE W @ LILLY WAY MANATEE,27.434837,-82.580238
1522_merged_90156,US 41 N @ MYRTLE ST,27.367199,-82.551742
3459_merged_87694,ELYTON DR @ ERIE CT,27.058816,-82.240492
2785_merged_88633,SHAMROCK DR @ HUDSON RD,27.048326,-82.426687
1338_merged_88195,US 41 N @ 42ND ST,27.370881,-82.552836
3934_merged_89848,US 41 N @ COLLECTON DR,27.366204,-82.551251
3956_merged_88074,GULF OF MEXICO DR @ COUNTY CLUB NOR,27.348061,-82.605198
821_merged_87266,US S41 @ BAYSHORE RD,27.151896,-82.466818
920_merged_87383,SWIFT RD @ WILKINSON RD,27.291373,-82.51408
2641_merged_88124,US 41 S @ WOODMERE PARK BV,27.04953,-82.386625
4104_merged_90328,US 41 N @ BURGER KING MANATEE,27.420886,-82.575616
3758_merged_86980,INDIANA AV @ GOLF VIEW DR,26.991068,-82.368498
2798_merged_90563,JACARANDA BV @ US 41 S,27.050872,-82.397295
2704_merged_87376,DEARBORN ST @ CEDAR ST,26.962151,-82.363077
3904_merged_87333,AVENIDA DEL CIRCO @ FIELD AVE,27.081889,-82.436818
3359_merged_89013,COURTLAND ST @ 2600 BLOCK,27.326411,-82.516451
1110_merged_88588,US 41 @ SOUTHWINDS DR,27.265373,-82.526938
4066_merged_90183,8TH AVE W @ 4TH ST W PALMETTO,27.513817,-82.57302
378_merged_88938,OLD BRADENTON RD @ 48TH ST,27.376199,-82.546898
2679_merged_90752,ENGLEWOOD RD @ DARTMOUTH RD,27.033828,-82.39767
740_merged_89791,BAHIA VISTA ST @ JEFFERSON AV,27.322903,-82.519819
3882_merged_88404,MEDICAL BLVD @ ABERCROMBIE AVE,26.949375,-82.335326
1094_merged_90135,US S41 @ SPENCER AV,27.130456,-82.453407
2790_merged_88474,JAMAICA RD @ SIESTA DR,27.058189,-82.422396
3187_merged_90657,OSPREY AV @ 17TH ST,27.351852,-82.534511
46_merged_90809,RINGLING BV @ EAST AV,27.335623,-82.527313
768_merged_89029,BEE RIDGE RD @ SCHOOL AV,27.298921,-82.526679
3464_merged_89637,PAN AMERICAN @ WILLOW CREEK CR,27.047424,-82.243108
1628_merged_86741,GEN SPAATZ  @ AIRPORT AUDITORIUM LN,27.386188,-82.556349
267_merged_90698,BENEVA RD @ HELENE ST,27.29487,-82.497569
3563_merged_88314,MCINTOSH RD @ OAKVIEW DR,27.316346,-82.482286
2012_merged_90405,US S41 @ PREYMORE ST,27.211088,-82.490484
587_merged_90442,MCINTOSH RD @ TRAILS DR,27.321644,-82.482946
3430_merged_87991,SUMTER BV @ RICHMOND TER,27.047052,-82.216825
724_merged_88701,STICKNEY POINT RD @ AVENUE A,27.259234,-82.524015
172_merged_86877,BENEVA RD @ WEBBER ST,27.308045,-82.497509
1064_merged_90261,US 41 @ FIELD RD,27.287954,-82.530757
1238_merged_87196,12TH ST @ BRINK AV,27.348631,-82.509794
981_merged_88622,US 41 @ REYNOLDS ST,27.255705,-82.518027
167_merged_89093,BENEVA RD @ HELENE ST,27.29467,-82.497549
1509_merged_88392,GULF OF MEXICO DR @ SCHOONER LN,27.339348,-82.594217
3711_merged_90536,CLARK RD @ SARAH AVE,27.26933,-82.477704
738_merged_90639,BAHIA VISTA ST @ BRIGGS AVE,27.32289,-82.516291
786_merged_89506,OSPREY AV @ CHEROKEE DR,27.307813,-82.533703
623_merged_88892,BEACH RD @ MIDNIGHT PASS RD,27.266912,-82.546406
3581_merged_87654,MOUND ST @ HUDSON AVE,27.328421,-82.537401
3994_merged_88765,US 41 N @ TALLEVAST RD,27.406975,-82.568963
3909_merged_87340,THE RIALTO @ FIRENZE AVE,27.084753,-82.444317
15_merged_87328,BAHIA VISTA ST @ ALBRITTON AV,27.323174,-82.457347
4070_merged_90346,14TH ST W @ 14TH AVE W MANATEE,27.48726,-82.575323
1540_merged_86941,GULF OF MEXICO DR @ COUNTRY CLUB SO,27.34463,-82.601549
3906_merged_89428,AIRPORT AVE @ COOPER ST,27.078772,-82.440413
3549_merged_88023,COCOANUT AV @ MLK WAY,27.35971,-82.544862
3513_merged_88812,COQUINA BEACH,27.456159,-82.69469
652_merged_90482,HIGEL AV @ MIDNIGHT PASS RD,27.289277,-82.55891
3762_merged_90690,US 41 S @ LOWE'S,27.070974,-82.42253
138_merged_88307,BENEVA RD @ TORREY PINES BV,27.244869,-82.497474
418_merged_86957,HATTON ST @ SHADE N AV,27.32595,-82.521647
1350_merged_90644,DESOTO RD @ SARASOTA LAKES BL,27.381639,-82.53711
65_merged_87419,GULF STREAM AV @ SUNSET DR,27.33585,-82.54988
3212_merged_88674,MIDNIGHT PASS RD @ MIDNIGHT PASS,27.26686,-82.545938
236_merged_89311,ORANGE AV @ MOUND ST,27.328801,-82.538447
42_merged_88720,RINGLING BV @ JEFFERSON AV,27.335887,-82.519932
3797_merged_89337,BAYFRONT DR @ MAIN ST,27.334398,-82.54462
3651_merged_87369,15TH ST E @ LINDBERGH CT,27.392773,-82.546691
1014_merged_87185,MLK @ GILLESPIE AVE,27.35971,-82.532935
3586_merged_87659,BEE RIDGE RD@ S SCHOOL AVE,27.298841,-82.526461
445_merged_88202,BEE RIDGE RD @ BENEVA RD WS,27.298859,-82.498948
4085_merged_89562,53RD AVE W @ SUNSET LN MANATEE,27.447806,-82.576265
1051_merged_89802,WALDEMERE ST @ US 41,27.319167,-82.531443
504_merged_87433,SIESTA DR @ NORSOTA WY,27.30238,-82.548067
1188_merged_90784,US 301 @ 6TH ST,27.34106,-82.530888
1008_merged_89390,MLK @ BOOKER AV,27.359793,-82.520005
1037_merged_87436,ORANGE AV @ 8TH ST,27.343181,-82.538626
3380_merged_88183,MLK @ NEWTOWN ESTATES,27.359778,-82.523775
3500_merged_90740,US 41 & MLK,27.359875,-82.549096
953_merged_90210,US S41 @ OGBURN ST,27.197439,-82.490208
88_merged_88337,BEN FRANKLIN DR @ LIDO PARK,27.300305,-82.567297
2068_merged_90561,US 41 @ WISTERIA ST,27.313009,-82.529774
3461_merged_89639,PAN AMERICAN @ KAPPA PL,27.056354,-82.239224
1274_merged_89816,CATTLEMEN RD @ CATTLERIDGE BV,27.303463,-82.451448
3544_merged_88016,RINGLING BV @ INDIAN PL,27.335166,-82.535374
3547_merged_88019,COCOANUT AV @ 16TH ST,27.351636,-82.544786
1146_merged_86930,OSPREY AV @ BROTHER GEENAN WY,27.330078,-82.534339
1074_merged_88037,US 41 @ UPPER GLENCOE AV,27.263307,-82.525508
2180_merged_89210,JOHN RINGLING BV @ PLYMOUTH HARBOR,27.322266,-82.570313
3274_merged_87391,BUS 41 @ GULF WIND MARIANA,27.079431,-82.43205
2936_merged_88504,SHAMROCK BV @ VALENCIA DR,27.073286,-82.409699
1461_merged_87911,HONORE AV @ SAWGRASS RD,27.332242,-82.463759
658_merged_88394,SIESTA DR @ VALENCIA DR,27.304559,-82.519338
3832_merged_88922,SUMTER BLVD @ AMSOUTH BANK,27.037059,-82.220158
2968_merged_90126,CENTER RD @ NEPONSIT DR,27.078997,-82.408609
1289_merged_86784,LONGWOOD RUN BV @ UNIVERSITY PW,27.387822,-82.478807
3696_merged_86890,BEE RIDGE RD @ INCARNATION CHURCH,27.29888,-82.512094
2987_merged_87177,OLD ENGLEWOOD RD @ COCOANUT AV,26.96315,-82.364899
