operator_name,operator_abbreviation,ntd_id,gtfs_url,stop_digits
"KU on Wheels & Lawrence Transit System",'KULTS',7048,http://lawrenceks.org/assets/gis/google-transit/google_transit.zip,19
"2Plus Partners in Transportation, Inc ",2Plus,1110,,
Abilene Transit System ,CityLink,6040,,
"Academy Lines, Inc. ",,2122,,
Access Services ,AS,9157,,
"Adirondack Transit Lines, Inc, ",Adirondack Trailways,2177,,
Alameda-Contra Costa Transit District ,AC Transit,9014,,
Alaska Railroad Corporation ,ARRC,41,,
Albany Transit System ,ATS,4021,,
Allegany County Transit ,ACT,3041,,
Altamont Commuter Express ,ACE,9182,,
Altoona Metro Transit ,AMTRAN,3011,,
Amarillo City Transit ,ACT,6001,,
Ames Transit Agency ,CyRide,7041,,
Anaheim Transportation Network ,ATN,9211,,
Ann Arbor Transportation Authority ,AATA,5040,,
Annapolis Department of Transportation ,Annapolis Transit,3040,,
Antelope Valley Transit Authority ,AVTA,9121,,
Arlington Transit - Arlington County ,ART,3080,http://www.arlingtontransit.com/gtfs/google_transit.zip,
Asheville Transit System ,ATS,4005,,
Athens Transit System ,ATS,4047,,
"Atlantic Paratrans of NYC, Inc. ",API,2159,,
Augusta Richmond County Transit Department ,APT,4023,,
Battle Creek Transit ,BCT,5030,,
Bay County Council On Aging Bay Coordinated Transportation ,BCCOA,4085,,
Bay Metropolitan Transit Authority ,Bay Metro,5029,,
Beaumont Municipal Transit System ,BMT,6016,,
Beaver County Transit Authority ,BCTA,3023,,
Belle Urban System - Racine ,The Bus,5006,,
Ben Franklin Transit ,BFT,18,,
Berks Area Reading Transportation Authority ,BARTA,3024,,
Berkshire Regional Transit Authority ,BRTA,1007,,
Bettendorf Transit System ,BT,7007,,
Billings Metropolitan Transit ,Billings MET Transit ,8004,,
"BillyBey Ferry Company, LLC ",,2189,,
Birmingham-Jefferson County Transit Authority ,MAX,4042,,
Bis-Man Transit Board ,CAT,8019,,
Bi-State Development Agency ,METRO,7006,ftp://tripfinder.metrostlouis.org/pub/Google_transit/latest/google_transit.zip,
Blacksburg Transit ,BT,3091,http://www.btransit.org/cms.php/google_transit_feed/google_transit.zip,
Bloomington Public Transportation Corporation ,BT,5110,,
Bloomington-Normal Public Transit System ,B-NPTS,5047,,
Blue Water Area Transportation Commission ,Blue Water Area Transit,5148,,
"Board of County Commissioners, Palm Beach County, PalmTran, Inc. ",PalmTran,4037,,
Bonanza ,BZ,1116,,
Brazos Transit District ,The District,6059,,
Brockton Area Transit Authority ,BAT,1004,,
Broome County Department of Public Transportation ,Broome County,2003,,
Broward County Community Bus Service ,BCT,4179,,
Broward County Transportation Department ,BCT,4029,,
Brunswick Transit Alternative ,BTA,5143,,
Buckhead Community Improvement District ,BCID,4177,,
Butler County Regional Transit Authority ,BCRTA,5157,,
Butte County Association of Governments ,BCAG,9208,,
Cache Valley Transit District ,CVTD,8028,,
Camarillo Area Transit ,CAT,9163,,
Cambria County Transit Authority ,CamTran,3012,,
Cape Ann Transportation Authority ,CATA,1053,,
Cape Cod Regional Transit Authority ,CCRTA,1105,,
Cape Fear Public Transportation Authority ,Wave,4006,,
Capital Area Transit ,CAT,3014,,
Capital Area Transit ,CAT,4007,,
Capital Area Transit System ,CATS,6022,,
Capital Area Transportation Authority ,CATA,5036,,
Capital District Transportation Authority ,CDTA,2002,http://www.cdta.org/schedules/google_transit.zip,
Capital Metropolitan Transportation Authority ,CMTA,6048,http://www.capmetro.org/gisdata/google_transit.zip,
Carroll County Planning Department ,CATS,3092,,
Casco Bay Island Transit District ,CBITD,1088,,
Cedar Rapids Transit ,CRT,7008,,
Central Arkansas Transit Authority ,CATA,6033,,
Central Contra Costa Transit Authority ,County Connection,9078,,
Central Florida Regional Transportation Authority ,LYNX,4035,,
Central Midlands Regional Transit Authority ,CMRTA,4141,,
Central Ohio Transit Authority ,COTA,5016,,
Central Oklahoma Transportation and Parking Authority ,COTPA,6017,,
Central Puget Sound Regional Transit Authority ,ST,40,,
Centre Area Transportation Authority ,CATA,3054,,
"Centro of Cayuga, Inc. ",Centro of Cayuga,2116,,
"Centro of Oneida, Inc. ",Centro of Oneida,2185,,
"Centro of Oswego, Inc. ",Centro of Oswego,2172,,
Champaign-Urbana Mass Transit District ,C-U MTD,5060,http://www.cumtd.com/google/google_transit.zip,
Chapel Hill Transit ,CHT,4051,,
Charleston Area Regional Transportation Authority ,CARTA,4110,,
Charlotte Area Transit System ,CATS,4008,,
Charlotte County Transit Division ,,4129,,
Charlottesville Area Transit ,CAT,3036,,
Chatham Area Transit Authority ,CAT,4025,,
Chattanooga Area Regional Transportation Authority ,CARTA,4001,,
Chemung County Transit System ,CCTS,2005,,
Chicago Transit Authority ,CTA,5066,,
Chippewa Falls General Public Shared-Ride Taxi System ,CFTN,5133,,
Chittenden County Transportation Authority ,CCTA,1066,,
Chula Vista Transit ,CVT,9193,,
Cities Area Transit ,CAT,8008,,
City and County of Honolulu Department of Transportation Services ,DTS,9002,,
City of Alameda Ferry Services ,,9150,,
City of Albuquerque Transit Department ,ABQ Ride,6019,,
City of Alexandria ,DASH,3071,,
City of Alexandria ,Atrans,6025,,
City of Anderson Transportation System ,CATS,5041,,
City of Appleton - Valley Transit , ,5001,,
City of Arcadia Transit ,Arcadia Transit,9044,,
City of Bangor - BAT Community Connector ,BAT,1096,,
City of Beloit Transit System ,BTS,5109,,
"City of Bend, Bend Area Transit ",BAT,50,,
City of Benicia ,Benicia Breeze,9174,,
City of Brownsville - Brownsville Urban System ,BUS,6014,,
City of Casper ,,8013,,
City of Commerce Municipal Buslines ,CBL,9043,,
City of Corona ,CCTS,9052,,
City of Danville Mass Transit System ,Danville Transit,3069,,
City of Danville/Danville Mass Transit ,DMT,5174,,
City of DeKalb ,DSATS,5176,,
City of Detroit Department of Transportation ,DDOT,5119,,
City of Dubuque ,KeyLine,7011,,
City of Elk Grove ,etran,9205,,
City of Fairfax CUE Bus ,CUE,3058,,
City of Fairfield - Fairfield and Suisun Transit ,FAST,9092,,
"City of Fargo, DBA: Metropolitan Area Transit ",MAT,8003,,
City of Gardena Transportation Department ,GMBL,9042,,
City of Glendale Transit ,,9034,,
City of Grand Haven Harbor Transit ,,5181,,
City of Grand Prairie Transportation Services Department ,Grand Connection,6068,,
City of Greeley - Transit Services ,GET,8010,,
City of Harrisonburg Department of Public Transportation ,Harrisonburg Transit,3094,,
"City of Huntsville, Alabama - Public Transportation Division ",,4071,http://maps.hsvcity.com/GoogleTransit/google_transit.zip,
City of Jackson Transit System ,JATRAN,4015,,
City of Jackson Transportation Authority ,JTA,5034,,
City of Jefferson ,JEFFTRAN,7043,,
City of Kokomo ,COK,5145,,
City of La Mirada Transit ,LMT,9024,,
City of Lawrence - Lawrence Transit System ,,7033,,
City of Lodi - Transit Division ,Grapeline,9175,,
City of Lompoc - Lompoc Transit ,COLT,9149,,
City of Long Beach ,Long Beach Bus,2006,,
City of Los Angeles Department of Transportation ,LADOT,9147,,
City of Loveland Transit ,COLT,8025,,
City of Mesquite ,MTED,6070,,
City of Middletown - Middletown Transit System ,MTS,5019,,
City of Monroe Transit System ,MTS,6026,,
City of Montgomery-Montgomery Area Transit System ,MATS,4044,,
"City of Moorhead, DBA: Metropolitan Area Transit ",MAT,5026,,
City of Newark Transit Operations ,Earthworks,5138,,
"City of Ocala, Florida ",SunTran,4120,,
City of Petaluma ,Petaluma Transit,9213,,
City of Phoenix Public Transit Department dba Valley Metro ,Valley Metro,9032,,
City of Pocatello - Pocatello Regional Transit ,PRT,22,,
City of Porterville ,C.O.L.T.,9198,,
City of Poughkeepsie ,,2009,,
City of Redondo Beach - Beach Cities Transit ,BCT,9214,,
City of Riverside Special Transportation ,City of Riverside,9086,,
City of Rochester Public Transportation ,,5092,,
City of Rome Transit Department ,RTD,4058,,
City of San Luis Obispo ,SLO Transit,9156,,
City of Santa Rosa ,Santa Rosa CityBus,9017,,
City of Scottsdale - Scottsdale Trolley ,COS,9131,,
City of Seattle - Seattle Center Monorail Transit ,SMS,23,,
City of Tallahassee ,StarMetro ,4036,,
City of Tempe Transit Division - dba Valley Metro ,TIM - Tempe in Motion,9172,,
