route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,1,Florida Avenue,3,http://www.gohart.org/routes/hartline/01.html,09346D,FFFFFF
10,10,Cypress Street,3,http://www.gohart.org/routes/hartline/10.html,09346D,FFFFFF
12,12,22nd Street,3,http://www.gohart.org/routes/hartline/12.html,09346D,FFFFFF
14,14,Armenia Avenue,3,http://www.gohart.org/routes/hartline/14.html,09346D,FFFFFF
15,15,Columbus Drive,3,http://www.gohart.org/routes/hartline/15.html,09346D,FFFFFF
16,16,Waters Avenue,3,http://www.gohart.org/routes/hartline/16.html,09346D,FFFFFF
18,18,30th Street,3,http://www.gohart.org/routes/hartline/18.html,09346D,FFFFFF
19,19,Port Tampa,3,http://www.gohart.org/routes/hartline/19.html,09346D,FFFFFF
2,2,Nebraska Avenue,3,http://www.gohart.org/routes/hartline/02.html,09346D,FFFFFF
20,20,Pasco - Lutz Express,3,http://www.gohart.org/routes/commuterexpress/020x.html,A81534,FFFFFF
200,200,Clearwater Express,3,http://www.gohart.org/routes/commuterexpress/200x.html,A81534,FFFFFF
22,22,Dover - Brandon Express,3,http://www.gohart.org/routes/commuterexpress/022x.html,A81534,FFFFFF
23,23,Temple Terrace Express,3,http://www.gohart.org/routes/commuterexpress/023x.html,A81534,FFFFFF
24,24,Fishhawk-Riverview-MacDill AFB,3,http://www.gohart.org/routes/commuterexpress/024x.html,A81534,FFFFFF
25,25,S Brandon - MacDill AFB Limited,3,http://www.gohart.org/routes/commuterexpress/025x.html,A81534,FFFFFF
27,27,Riverview-Fishhawk-Brandon Ltd,3,http://www.gohart.org/routes/commuterexpress/027x.html,A81534,FFFFFF
28,28,East County Express,3,http://www.gohart.org/routes/commuterexpress/028x.html,A81534,FFFFFF
30,30,Town 'N Country,3,http://www.gohart.org/routes/hartline/30.html,09346D,FFFFFF
31,31,South Hillsborough County,3,http://www.gohart.org/routes/hartline/31.html,09346D,FFFFFF
32,32,Dr Martin Luther King Jr Blvd,3,http://www.gohart.org/routes/hartline/32.html,09346D,FFFFFF
33,33,Fletcher Avenue,3,http://www.gohart.org/routes/hartline/33.html,09346D,FFFFFF
34,34,Hillsborough Avenue,3,http://www.gohart.org/routes/hartline/34.html,09346D,FFFFFF
35,35,Brandon-Southshore Limited Exp,3,http://www.gohart.org/routes/commuterexpress/035lx.html,A81534,FFFFFF
36,36,Dale Mabry - Himes Avenue,3,http://www.gohart.org/routes/hartline/36.html,09346D,FFFFFF
37,37,Brandon - Netpark,3,http://www.gohart.org/routes/hartline/37.html,09346D,FFFFFF
39,39,Busch Boulevard,3,http://www.gohart.org/routes/hartline/39.html,09346D,FFFFFF
4,4,Palma Ceia -  MacDill,3,http://www.gohart.org/routes/hartline/04.html,09346D,FFFFFF
41,41,Sligh Avenue,3,http://www.gohart.org/routes/hartline/41.html,09346D,FFFFFF
45,45,UATC - Rome - Westshore Plaza,3,http://www.gohart.org/routes/hartline/45.html,09346D,FFFFFF
46,46,Davis Islands - West Brandon,3,http://www.gohart.org/routes/hartline/46.html,09346D,FFFFFF
47,47,Southshore Limited Express,3,http://www.gohart.org/routes/commuterexpress/047lx.html,A81534,FFFFFF
5,5,40th Street,3,http://www.gohart.org/routes/hartline/05.html,09346D,FFFFFF
50,50,Citrus Park-Carrollwood Express,3,http://www.gohart.org/routes/commuterexpress/050x.html,A81534,FFFFFF
51,51,New Tampa - Pasco Express,3,http://www.gohart.org/routes/commuterexpress/051x.html,A81534,FFFFFF
53,53,So County-Brandon Via Us301 Ltd,3,http://www.gohart.org/routes/commuterexpress/053x.html,,
57,57,UATC - Temple Terrace - Netpark,3,http://www.gohart.org/routes/hartline/57.html,09346D,FFFFFF
572,572,Northdale Flex,3,http://www.gohart.org/flex/northdale.html,09346D,FFFFFF
573,573,Town 'N Country Flex,3,http://www.gohart.org/flex/town_n_country.html,09346D,FFFFFF
574,574,South Tampa Flex,3,http://www.gohart.org/flex/southtampa.html,09346D,FFFFFF
59,59,Westchase-Town 'N Country Limit,3,http://www.gohart.org/routes/commuterexpress/059lx.html,A81534,FFFFFF
6,6,56th Street,3,http://www.gohart.org/routes/hartline/06.html,09346D,FFFFFF
61,61,Northwest Limited Express,3,http://www.gohart.org/routes/commuterexpress/061x.html,A81534,FFFFFF
7,7,West Tampa - Citrus Park,3,http://www.gohart.org/routes/hartline/07.html,09346D,FFFFFF
8,8,Progress Village- Brandon,3,http://www.gohart.org/routes/hartline/08.html,09346D,FFFFFF
87,87,Southshore Connector,3,http://www.gohart.org/routes/hartline/87.html,B33246,FFFFFF
88,88,Town 'N Country Connector,3,http://www.gohart.org/routes/hartline/88.html,B33246,FFFFFF
89,89,South Tampa Connector,3,http://www.gohart.org/routes/hartline/89.html,B33246,FFFFFF
9,9,15th Street,3,http://www.gohart.org/routes/hartline/09.html,09346D,FFFFFF
96,96,In-Town Trolley Purple Line,3,http://www.gohart.org/routes/trolley/96.html,3C2D90,FFFFFF
97,97,In-Town Trolley Green Line,3,http://www.gohart.org/routes/trolley/97.html,005133,FFFFFF
