stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
27.326727,merged_90840,-82.461893,,1390_merged_87104,PALMER BLVD & ADRIAN AVE,PALMER BV @ ADRIAN AV,0
27.049843,merged_90841,-82.405656,,2974_merged_90189,,US 41 S @ SR 776,
27.069495,merged_90840,-82.203137,,3829_merged_86969,,PRICE BLVD @ RACE ST,0
27.293405,merged_90840,-82.514215,,3590_merged_87802,,SWIFT RD @ MOSS OAK DR,0
27.349509,merged_90840,-82.606841,,3806_merged_87210,,GULF OF MEXICO BV @ PROMENADE,0
27.336382,merged_90841,-82.516194,,53_merged_89179,,RINGLING BV @ BRIGGS AV,
27.411569,merged_90841,-82.571901,,4107_merged_90329,,US 41 N @ PEARL AVE MANATEE,
27.079431,merged_90841,-82.43205,,3274_merged_89484,,BUS 41 @ GULF WIND MARIANA,
27.101138,merged_90841,-82.458405,,2606_merged_89627,,BARCELONA AV@ CADIZ RD,
27.043473,merged_90841,-82.417534,,2854_merged_89250,,MERIDIAN RD @ SOUTH VENICE BV,
27.298825,merged_90840,-82.524884,,3587_merged_87660,,BEE RIDGE RD@ PINE RIDGE,0
27.30818,merged_90841,-82.498082,,4154_merged_89583,,WEBBER ST @ BENEVA RD EASTBOUND,
27.303493,merged_90841,-82.57038,,3229_merged_89126,,BEN FRANKLIN @ HELMSLEY HOTEL,
27.043855,merged_90840,-82.416496,,2855_merged_87156,871 S VENICE BLVD & MERIDIAN RD,S VENICE BV @ ZENITH RD,0
27.073426,merged_90841,-82.227962,,3439_merged_90082,,PRICE BV @ HIGH SCHOOL,
27.273923,merged_90841,-82.514081,,3592_merged_89836,,SWIFT RD @ MANOR CARE,
27.274217,merged_90841,-82.497589,,159_merged_89215,,BENEVA RD @ BENEVA WOODS BV,
27.289476,merged_90841,-82.514198,,1651_merged_90438,,SWIFT RD @ NASSAU ST,
27.382286,merged_90840,-82.552422,,3552_merged_88145,,AIRPORT CIR @ UNIVERSITY PW,0
27.099638,merged_90840,-82.42146,,2618_merged_87680,1221 E VENICE AVE & CHERRY ST,E VENICE AV @ CHERRY ST,0
27.044545,merged_90840,-82.229432,,3852_merged_87633,,GREENWOOD AVE @ SABLE TRACE DR,0
27.263889,merged_90841,-82.542256,,2145_merged_89475,,MIDNIGHT PASS RD @ WINDSONG LN,
27.099809,merged_90840,-82.424377,,2818_merged_88687,1200 E VENICE AVE & E GATE DR,E VENICE AV @ EAST GATE DR,0
27.381794,merged_90841,-82.53699,,3416_merged_90558,,DESOTO RD @ SARASOTA LAKES BL,
27.383409,merged_90841,-82.530757,,1157_merged_89164,,US 301 @ 57TH ST,
27.440427,merged_90841,-82.58776,,4093_merged_89695,,26TH ST W @ 57TH AVE W MANATEE,
27.405254,merged_90840,-82.568064,,3943_merged_87928,,US 41 N @ PONCE DE LEON ST,0
27.298756,merged_90841,-82.521715,,755_merged_89650,,BEE RIDGE RD @ WHIPPOORWILL CR,
27.050261,merged_90840,-82.406121,,2684_merged_86724,S TAMIAMI TRL & ENGLEWOOD RD,US 41 S @ ENGLEWOOD RD,0
27.38234,merged_90841,-82.481143,,1292_merged_90500,,LONGWOOD RUN BV @ MONTE ROSSO RD,
27.298236,merged_90841,-82.451624,,1406_merged_90283,,CATTLEMEN RD @ BEE RIDGE RD,
27.4442,merged_90840,-82.587729,,4091_merged_87604,,26TH ST W @ 55TH AVE W MANATEE,0
27.045599,merged_90841,-82.413552,,2693_merged_88988,,S VENICE BV @ POMPANO RD,
27.042365,merged_90840,-82.315213,,2646_merged_88128,,MANATEE COMMUNITY COLLEGE,0
27.332518,merged_90840,-82.534333,,1148_merged_86934,,OSPREY AV @ LAUREL RD,0
27.434837,merged_90841,-82.580238,,4097_merged_89699,,60TH AVE W @ LILLY WAY MANATEE,
27.367199,merged_90841,-82.551742,,1522_merged_90156,,US 41 N @ MYRTLE ST,
27.058816,merged_90840,-82.240492,,3459_merged_87694,,ELYTON DR @ ERIE CT,0
27.048326,merged_90840,-82.426687,,2785_merged_88633,4121 SHAMROCK DR & GRAHAM RD,SHAMROCK DR @ HUDSON RD,0
27.370881,merged_90840,-82.552836,,1338_merged_88195,N TAMIAMI TRL & 42ND ST,US 41 N @ 42ND ST,0
27.366204,merged_90841,-82.551251,,3934_merged_89848,,US 41 N @ COLLECTON DR,
