route_id,service_id,trip_id,trip_headsign,block_id,shape_id,Direction
1,Sa,604036,North to University Area TC,232163,23845,NORTH
1,Sa,604037,North to University Area TC,232164,23845,NORTH
1,Sa,604038,North to University Area TC,232165,23845,NORTH
1,Sa,604039,North to University Area TC,232166,23845,NORTH
1,Sa,604040,North to University Area TC,232167,23845,NORTH
1,Sa,604041,North to University Area TC,232163,23845,NORTH
1,Sa,604042,North to University Area TC,232168,23845,NORTH
1,Sa,604043,North to University Area TC,232165,23845,NORTH
1,Sa,604044,North to University Area TC,232169,23845,NORTH
1,Sa,604045,North to University Area TC,232167,23845,NORTH
1,Sa,604046,North to University Area TC,232170,23845,NORTH
1,Sa,604047,North to University Area TC,232168,23845,NORTH
1,Sa,604048,North to University Area TC,232171,23845,NORTH
1,Sa,604049,North to University Area TC,232169,23845,NORTH
1,Sa,604050,North to University Area TC,232172,23845,NORTH
1,Sa,604051,North to University Area TC,232170,23845,NORTH
1,Sa,604052,North to University Area TC,232173,23845,NORTH
1,Sa,604053,North to University Area TC,232171,23845,NORTH
1,Sa,604054,North to University Area TC,232174,23845,NORTH
1,Sa,604055,North to University Area TC,232172,23845,NORTH
1,Sa,604056,North to University Area TC,232175,23845,NORTH
1,Sa,604057,North to University Area TC,232173,23845,NORTH
1,Sa,604058,North to University Area TC,232164,23845,NORTH
1,Sa,604059,North to University Area TC,232174,23845,NORTH
1,Sa,604060,North to University Area TC,232166,23845,NORTH
1,Sa,604061,North to University Area TC,232175,23845,NORTH
1,Sa,604062,North to University Area TC,232163,23845,NORTH
1,Sa,604063,North to University Area TC,232165,23845,NORTH
1,Sa,604064,North to University Area TC,232170,23845,NORTH
1,Sa,604065,South to Downtown,232172,23846,SOUTH
1,Sa,604066,South to Downtown,232175,23846,SOUTH
1,Sa,604067,South to Downtown,232173,23846,SOUTH
1,Sa,604068,South to Downtown,232164,23846,SOUTH
1,Sa,604069,South to Downtown,232174,23846,SOUTH
1,Sa,604070,South to Downtown,232166,23846,SOUTH
1,Sa,604071,South to Downtown,232175,23846,SOUTH
1,Sa,604072,South to Downtown,232163,23846,SOUTH
1,Sa,604073,South to Downtown,232164,23846,SOUTH
1,Sa,604074,South to Downtown,232165,23846,SOUTH
1,Sa,604075,South to Downtown,232166,23846,SOUTH
1,Sa,604076,South to Downtown,232167,23846,SOUTH
1,Sa,604077,South to Downtown,232163,23846,SOUTH
1,Sa,604078,South to Downtown,232168,23846,SOUTH
1,Sa,604079,South to Downtown,232165,23846,SOUTH
1,Sa,604080,South to Downtown,232169,23846,SOUTH
1,Sa,604081,South to Downtown,232167,23846,SOUTH
1,Sa,604082,South to Downtown,232170,23846,SOUTH
1,Sa,604083,South to Downtown,232168,23846,SOUTH
1,Sa,604084,South to Downtown,232171,23846,SOUTH
1,Sa,604085,South to Downtown,232169,23846,SOUTH
1,Sa,604086,South to Downtown,232172,23846,SOUTH
1,Sa,604087,South to Downtown,232170,23846,SOUTH
1,Sa,604088,South to Downtown,232173,23846,SOUTH
1,Sa,604089,South to Downtown,232171,23846,SOUTH
1,Sa,604090,South to Downtown,232174,23846,SOUTH
1,Sa,604091,South to Downtown,232172,23846,SOUTH
1,Sa,604092,South to Downtown,232173,23846,SOUTH
1,Sa,604093,South to Downtown,232165,23846,SOUTH
1,Sa,604094,South to Downtown,232170,23846,SOUTH
1,Sa2,593035,SOUTH to Marion TC,230859,23285,SOUTH
1,Sa2,593036,SOUTH to Marion TC,230864,23285,SOUTH
1,Sa2,593037,SOUTH to Marion TC,230858,23285,SOUTH
1,Sa2,593038,SOUTH to Marion TC,231327,23285,SOUTH
1,Sa2,593039,SOUTH to Marion TC,230868,23285,SOUTH
1,Sa2,593040,SOUTH to Marion TC,230860,23285,SOUTH
1,Sa2,593041,SOUTH to Marion TC,230864,23285,SOUTH
1,Sa2,593042,SOUTH to Marion TC,230857,23285,SOUTH
1,Sa2,593043,SOUTH to Marion TC,231327,23285,SOUTH
1,Sa2,593044,SOUTH to Marion TC,230867,23285,SOUTH
1,Sa2,593045,SOUTH to Marion TC,230860,23285,SOUTH
1,Sa2,593046,SOUTH to Marion TC,230865,23285,SOUTH
1,Sa2,593047,SOUTH to Marion TC,230857,23285,SOUTH
1,Sa2,593048,SOUTH to Marion TC,230861,23285,SOUTH
1,Sa2,593049,SOUTH to Marion TC,230867,23285,SOUTH
1,Sa2,593050,SOUTH to Marion TC,230869,23285,SOUTH
1,Sa2,593051,SOUTH to Marion TC,230865,23285,SOUTH
1,Sa2,593052,SOUTH to Marion TC,230866,23285,SOUTH
1,Sa2,593053,SOUTH to Marion TC,230861,23285,SOUTH
1,Sa2,593054,SOUTH to Marion TC,230863,23285,SOUTH
1,Sa2,593055,SOUTH to Marion TC,230869,23285,SOUTH
1,Sa2,593056,SOUTH to Marion TC,230859,23285,SOUTH
1,Sa2,593057,SOUTH to Marion TC,230866,23285,SOUTH
1,Sa2,593058,SOUTH to Marion TC,230858,23285,SOUTH
1,Sa2,593059,SOUTH to Marion TC,230863,23285,SOUTH
1,Sa2,593060,SOUTH to Marion TC,230868,23285,SOUTH
1,Sa2,593061,SOUTH to Marion TC,230859,23285,SOUTH
1,Sa2,593063,SOUTH to Marion TC,230858,23285,SOUTH
1,Sa2,593065,SOUTH to Marion TC,230867,23285,SOUTH
1,Sa2,593067,SOUTH to Marion TC,230866,23285,SOUTH
1,Sa2,593068,NORTH to University Area TC,230857,23284,NORTH
1,Sa2,593069,NORTH to University Area TC,231327,23284,NORTH
1,Sa2,593070,NORTH to University Area TC,230867,23284,NORTH
1,Sa2,593071,NORTH to University Area TC,230860,23284,NORTH
1,Sa2,593072,NORTH to University Area TC,230865,23284,NORTH
1,Sa2,593073,NORTH to University Area TC,230857,23284,NORTH
1,Sa2,593074,NORTH to University Area TC,230861,23284,NORTH
1,Sa2,593075,NORTH to University Area TC,230867,23284,NORTH
1,Sa2,593076,NORTH to University Area TC,230869,23284,NORTH
