stop_id,stop_name,stop_lat,stop_lon
2210,Macdill Av @ Prospect Rd,27.930698,-82.4933
2006,56th St @ 113th Av @ City Hall,28.049894,-82.393464
2005,56th St @ Whiteway Dr,28.04753,-82.393466
missing,none,28.0581518,-82.4196986
2209,Macdill Av @ Estrella St,27.928478,-82.49336
2208,Macdill Av @ Angeles St,27.927113,-82.493444
2012,56th St @ Whiteway Dr,28.04782,-82.393851
2207,Macdill Av @ San Isidro St,27.925805,-82.493465
2206,Macdill Av @ San Miguel St,27.924417,-82.493497
2205,Macdill Av @ San Jose St,27.92308,-82.493478
2204,Macdill Av @ Barcelona St,27.921649,-82.493507
2202,Macdill Av @ Bay To Bay Blvd,27.920038,-82.49358
2201,Macdill Av @ Mason St,27.917478,-82.493592
7215,Providence @ Providence Park  Apts,27.933157,-82.314492
7485,Howard Av @ Kathleen St,27.967621,-82.482701
7484,Sheldon Rd @ Linebaugh Av F/S;Sheldon Rd @ Old Linebaugh Av F/S,28.043947,-82.582991
6783,Webb Rd @ Town 'N Country Med Plaza;Webb Rd @ Town & Country Med Plaza,28.002012,-82.575231
7338,Westshore Plaza Transfer Center,27.94881,-82.525729
2940,Nuccio Pkwy @ 7th Av,27.960565,-82.446509
2021,56th St @ Busch Blvd,28.032734,-82.393636
2216,Macdill Av @ Cleveland St,27.94336,-82.493197
2020,56th St @ Sewaha St,28.034437,-82.393635
2215,Macdill Av @ Azeele St,27.94064,-82.493285
2211,Macdill Av @ Watrous Av,27.932278,-82.493251
0715,22nd St @ Fletcher Av,28.06986,-82.434677
2214,Macdill Av @ Horatio St,27.939812,-82.493293
2213,Macdill Av @ Swann Av,27.93725,-82.49325
3598,Fowler Av @ 9th St,28.054693,-82.449589
6891,Waters Av @ Sheldon Rd,28.02581,-82.582524
5350,Hillsborough Av @ 8332,27.996594,-82.577646
7330,Boyette Rd @ Us Hwy 301,27.857021,-82.325384
7331,Boyette Rd @ Us Hwy 301,27.857184,-82.325303
5348,Sheldon Rd @ 7-11 Store,27.999746,-82.583534
5349,Hillsborough Av @ Ross Plaza,27.996629,-82.580417
7316,Citrus Park Super Wal-Mart;Super Walmart @ Henderson Rd,28.062226,-82.550374
5341,Sheldon Rd @ Hamilton Av,28.015196,-82.583298
5335,Waters Av @ River Oaks Dr,28.026088,-82.579686
5338,Sheldon Rd @ Crown Blvd,28.019991,-82.583282
5129,Dale Mabry Hwy @ Cypress Meadows Dr,28.111354,-82.502617
3110,Holly Dr @ Magnolia Dr,28.066119,-82.420828
3111,Holly Dr @ Cypress Dr,28.066147,-82.423515
5333,Waters Av @ Flowerfield Dr,28.026063,-82.574006
7593,Manhattan Av @ Fair Oaks Av,27.900192,-82.518334
5334,Waters Av @ Shell Dr,28.026117,-82.576465
5331,Bj'S @ Waters Av @ Hanley Rd,28.026041,-82.564447
5332,Waters Av @ Beasley Rd,28.026034,-82.567385
7590,56th St @ E Fowler Av,28.053579,-82.393908
4963,22nd St @ Water Av,28.02512,-82.434586
2893,Us Hwy 41 @ 4th Av,27.715849,-82.433928
2894,Us Hwy 41 @ Shell Point Rd,27.720615,-82.4339
5327,Waters Av @ Pinehurst Dr,28.025797,-82.571631
5132,Fletcher Av @ Greentree Dr,28.06922,-82.47829
5131,Dale Mabry Hwy @ Northdale Blvd,28.092841,-82.502507
5325,Waters Av @ Riverwood Blvd,28.025814,-82.579727
3109,Alumni Dr @ Leroy Collins@ Eng Bldg,28.0578,-82.415793
5130,Dale Mabry Hwy @ Carrollwood Place,28.107285,-82.502575
3105,Alumni Dr @ Laurel Dr,28.058141,-82.416735
3104,Alumni Dr @ Leroy Collins @Eng Bldg,28.057316,-82.413653
7581,Fletcher Av @ Magnolia Dr,28.068971,-82.419926
2890,Us Hwy 301 @ Moody Rd,27.870548,-82.326752
4974,30th St @ Pine Dr,28.056123,-82.425899
7241,Gornto Lake Rd @ Causeway Blvd F/S,27.921418,-82.32296
4977,Bruce B Downs Blvd @ 132nd Av,28.0675,-82.42626
5315,Sheldon Rd @ 6309,28.007372,-82.58307
7240,Gornto Lake Rd @ Causeway Blvd N/S,27.921925,-82.322626
5311,Hillsborough Av @ 8327,27.996808,-82.577021
1601,40th St @ Diana St,28.006823,-82.413962
5312,Sheldon Rd @ Bay Plaza,27.998277,-82.583032
7572,St Joseph'S Hospital North,28.12914,-82.508879
5310,Hillsborough Av @ Buccaneer Square,27.996843,-82.579724
7576,Northwest Transfer Center,28.028126,-82.584433
4993,Kennedy Blvd @ Grady Av,27.944972,-82.510287
7477,Boyette Rd @ McMullen Rd,27.853481,-82.304213
5005,Hanley Rd @ 7948,28.019523,-82.562623
1607,40th St @ River Hills Dr,28.021213,-82.41487
6988,Macinnes Place @ Fortune St,27.952393,-82.463113
3357,Magnolia Dr @ Alumni Dr,28.058278,-82.420029
5203,Kennedy Blvd @ Franklin St,27.947639,-82.45813
6990,Magnolia Dr @ Alumni Dr,28.058713,-82.419822
5015,Fletcher Av @ Railroad Crossing,28.069298,-82.449124
7370,Ashley Dr @ Jackson St,27.945972,-82.45898
5014,Westshore Blvd @ 700 Omni Hotel,27.951446,-82.524315
2142,Manhattan Av @ Leona St,27.915394,-82.517977
2141,Manhattan Av @ Lumb Av,27.91702,-82.51796
2144,Manhattan Av @ Vasconia St,27.912572,-82.518018
0931,Fletcher Av @ 15th St,28.069154,-82.4431
0935,Fletcher Av @ 19th St,28.069147,-82.43886
0937,Fletcher Av @ 22nd St,28.06914,-82.434838
0936,Fletcher Av @ 20th St,28.069152,-82.436751
0938,Fletcher Av @ Livingston Av East,28.069132,-82.429987
2863,Us Hwy 301 @ Balm Riverview Rd,27.866154,-82.326474
7265,Cypress St @ O'Brien St,27.952264,-82.532759
2864,Us Hwy 301 @ Riverview Dr,27.871499,-82.326561
4997,Spruce St @ Westshore Blvd,27.959987,-82.524951
2139,Manhattan Av @ Bay To Bay Blvd,27.919414,-82.517907
7557,N Pebble Beach Bl @ Sun City Center,27.71712,-82.353841
7368,Ashley Dr @ Tyler St,27.951288,-82.461735
2749,Palm Av @ 19th St,27.962295,-82.438135
2747,Palm Av @ 15th St,27.962304,-82.44336
2149,Manhattan Av @ Fair Oaks Av,27.900047,-82.518516
3684,Reo St @ Cypress St,27.952134,-82.536353
6970,International Plaza,27.962767,-82.517985
2096,Cypress St @ Willow Av,27.951901,-82.472792
1522,Sligh Av @ 22nd St,28.010666,-82.43468
6968,Marion Transit Center,27.954921,-82.458395
6969,Marion Transit Center,27.954333,-82.458423
1622,Mckinley Dr @ Bougainvillea Av,28.044154,-82.416414
7688,N 42nd St @ Lazy Oak Dr,28.072175,-82.414115
7687,22nd St @ 140th Av,28.073654,-82.434626
7689,N 42nd St @ Lazy Oak Dr,28.072728,-82.413943
6981,Dick Greco Plaza,27.94119,-82.454991
1617,Mckinley Dr @ Linebaugh Av,28.039471,-82.416137
1616,Mckinley Dr @ Busch Blvd,28.034706,-82.416406
7691,6th Medical Group @ MacDill AFB,27.859809,-82.49994
1619,Mckinley Dr @ Fowler Av,28.053616,-82.416055
1618,Mckinley Dr @ Bougainvillea Av,28.044336,-82.416145
7692,6th Medical Group @ MacDill AFB;6th Medical Graoup @ MacDill AFB,27.859918,-82.500122
1612,40th St @ Seward St,28.027163,-82.416236
4933,Euclid Av @ Waverly Cr,27.908567,-82.49696
1611,40th St @ Regnas Av,28.025135,-82.416257
1610,40th St @ Bird St,28.023278,-82.415487
1515,Sligh Av @ 50th St,28.010768,-82.401621
3420,Rome Av @ Burke St,28.001531,-82.476235
4020,Waters Av @ Hanley Rd,28.025699,-82.562551
5802,Us Hwy 301 @ Rivercrest Dr,27.860293,-82.326958
2068,Cypress St @ Ward St,27.952204,-82.528699
2069,Cypress St @ Occident St,27.952178,-82.526644
1644,40th St @ Powhattan Av,27.999108,-82.414258
5809,Ruskin Neighborhood Service Center,27.70568,-82.431687
4019,Waters Av @ Beasley Rd,28.025748,-82.567547
1645,40th St @ Hillsborough Av,27.995358,-82.414249
1640,40th St @ Fern St,28.005565,-82.414256
3113,Holly Dr @ Pine Dr @ Crosswalk,28.065757,-82.424618
3114,Holly Dr @ Magnolia Dr,28.065891,-82.420902
1779,Dale Mabry @ Ehrlich @ Bank United;Dale Mabry @ Ehrlich @ South Trust,28.083176,-82.505972
1774,Dale Mabry Hwy @ Mapledale Blvd,28.098692,-82.502451
1771,Dale Mabry Hwy @ North Lakeview Dr,28.103287,-82.502123
1777,Dale Mabry @ Carrollwood Springs Bl,28.088733,-82.503636
1778,Dale Mabry Hwy @  Ehrlich Rd(15042),28.086791,-82.504429
2088,Cypress St @ Tampania Av,27.951995,-82.4873
2282,Henderson Blvd @ Hubert Av,27.924986,-82.51612
2281,Henderson Blvd @ Sterling Av,27.936,-82.503477
4958,Macdill Av @ Parkland Blvd,27.93462,-82.493232
1638,40th St @ Norfolk St,28.011669,-82.415329
4954,Macdill Av @ Acadamy Of Holy  Names,27.915036,-82.493564
1634,40th St @ Hanlon St,28.018433,-82.414394
4955,Macdill Av @ Stovall St,27.916431,-82.493554
4956,Macdill Av @ Santiago St,27.91836,-82.493556
4957,Macdill Av @ Granada St,27.920526,-82.493584
1631,40th St @ Regnas Av,28.02499,-82.4165
1630,40th St @ Seward St,28.027444,-82.41653
4951,Euclid Av @ Waverly Place,27.908577,-82.493985
4953,Macdill @ Bayshore Terrace Condos,27.91404,-82.493583
