Count,GTFS_Stop_ID,Route,Gtfs_Lat,Gtfs_Lon,Osm_Lat,Osm_Lon,Location_Displacement,Tags_not_in_GTFS,Version_History
1,7368,97,27.951288,-82.461735,27.951261,-82.461695,4.9443599325045025,operator=Hillsborough Area Regional Transit|name=Ashley Dr @ Tyler St|gtfs_stop_code=7368|highway=bus_stop|ntd_id=4041|route_ref=97|source=GO_Sync|gtfs_id=7368|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
2,4098,4,27.9374,-82.475642,27.9374287,-82.4756419,3.1805045190096526,source=GO_Sync|bench=yes|name=Swann Av @ Dakota Av|gtfs_stop_code=4098|operator=Hillsborough Area Regional Transit|route_ref=4|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4098|shade=portico|wastebasket=yes|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6631917)
3,6264,6,28.057385,-82.401752,28.0580575,-82.4017539,74.52694102913712,source=survey|bench=yes|name=50th St @ 122nd Av|gtfs_stop_code=6264|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=6264|shade=no|,version 1 = EdHillsman(changeset = 4724325)|version 2 = ktran9(changeset = 5231988)|version 3 = ktran9(changeset = 5232165)|version 4 = ktran9(changeset = 5236946)|version 5 = ktran9(changeset = 5238742)|version 6 = ktran9(changeset = 5257065)|version 7 = ktran9(changeset = 5257249)|version 8 = ktran9(changeset = 5257427)|version 9 = ktran9(changeset = 5257440)|version 10 = ktran9(changeset = 5282592)|version 11 = ktran9(changeset = 5282878)|version 12 = EdHillsman(changeset = 5348430)|version 13 = ktran9(changeset = 5557830)
4,6255,7,28.019625,-82.534425,28.019932,-82.534458,34.17610671085184,operator=Hillsborough Area Regional Transit|name=Anderson Rd @ Tampa West Blvd|gtfs_stop_code=6255|highway=bus_stop|ntd_id=4041|route_ref=7|source=GO_Sync|gtfs_id=6255|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
5,0938,6,28.069132,-82.429987,28.0690586,-82.4300563,10.609935402841138,bench=yes|name=Fletcher Av @ Livingston Av East|gtfs_stop_code=938|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=yes|highway=bus_stop|gtfs_id=0938|shade=trees|,version 1 = EdHillsman(changeset = 5238737)|version 2 = EdHillsman(changeset = 5238737)|version 3 = ktran9(changeset = 5282592)|version 4 = ktran9(changeset = 5282878)|version 5 = EdHillsman(changeset = 5305458)|version 6 = EdHillsman(changeset = 5305458)|version 7 = ktran9(changeset = 5557830)
6,0937,2,28.06914,-82.434838,28.0690737,-82.4347833,9.104724724448637,bench=yes|name=Fletcher Av @ 22nd St|gtfs_stop_code=937|operator=Hillsborough Area Regional Transit|route_ref=2|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=0937|shade=no|,version 1 = EdHillsman(changeset = 5252803)|version 2 = EdHillsman(changeset = 5294446)|version 3 = ktran9(changeset = 5557830)
7,0936,2,28.069152,-82.436751,28.0690803,-82.4367754,8.299944129719917,operator=Hillsborough Area Regional Transit|name=Fletcher Av @ 20th St|gtfs_stop_code=936|highway=bus_stop|ntd_id=4041|route_ref=2|source=survey|gtfs_id=0936|,version 1 = EdHillsman(changeset = 5252803)|version 2 = EdHillsman(changeset = 5294446)|version 3 = ktran9(changeset = 5557830)
8,0935,2,28.069147,-82.43886,28.0690732,-82.4387924,10.537790720777627,source=survey|bench=yes|name=Fletcher Av @ 19th St|gtfs_stop_code=935|operator=Hillsborough Area Regional Transit|route_ref=2|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=0935|shade=trees|,version 1 = EdHillsman(changeset = 5252803)|version 2 = EdHillsman(changeset = 5294446)|version 3 = ktran9(changeset = 5557830)
9,0931,2,28.069154,-82.4431,28.069095,-82.4430421,8.668574153069894,source=survey|bench=yes|name=Fletcher Av @ 15th St|gtfs_stop_code=931|operator=Hillsborough Area Regional Transit|route_ref=2|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=0931|shade=no|,version 1 = EdHillsman(changeset = 5252803)|version 2 = EdHillsman(changeset = 5252803)|version 3 = EdHillsman(changeset = 5305458)|version 4 = ktran9(changeset = 5557830)
10,5132,33,28.06922,-82.47829,28.0691584,-82.4784255,14.967000216057055,operator=Hillsborough Area Regional Transit|name=Fletcher Av @ Greentree Dr|gtfs_stop_code=5132|highway=bus_stop|ntd_id=4041|route_ref=33|source=GO_Sync|gtfs_id=5132|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6838230)
11,5771,39,28.038696,-82.582617,28.03904,-82.582607,38.13478508118409,operator=Hillsborough Area Regional Transit|name=Sheldon @ N Hills Co Health Ctr|gtfs_stop_code=5771|highway=bus_stop|ntd_id=4041|route_ref=39|source=GO_Sync|gtfs_id=5771|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
12,3598,45,28.054693,-82.449589,28.0547188,-82.4494541,13.567005963729015,source=GO_Sync|bench=yes|name=Fowler Av @ 9th St|gtfs_stop_code=3598|operator=Hillsborough Area Regional Transit|route_ref=45|ntd_id=4041|shelter=yes|highway=bus_stop|gtfs_id=3598|shade=roof|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6152399)|version 4 = EdHillsman(changeset = 6792930)
13,4682,45,28.054343,-82.442292,28.0543059,-82.4422985,4.160798723158054,operator=Hillsborough Area Regional Transit|name=Fowler Av @ 15th St|gtfs_stop_code=4682|highway=bus_stop|ntd_id=4041|route_ref=45|source=GO_Sync|gtfs_id=4682|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6152399)
14,4681,45,28.054313,-82.444906,28.0543116,-82.4441568,73.65589184157191,source=GO_Sync|bench=yes|name=Fowler Av @ 14th St|gtfs_stop_code=4681|operator=Hillsborough Area Regional Transit|route_ref=45|ntd_id=4041|shelter=yes|highway=bus_stop|gtfs_id=4681|shade=roof|wastebasket=yes|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6793800)|version 4 = EdHillsman(changeset = 6793800)
15,5769,39,28.033715,-82.58274,28.033824,-82.58274,12.079379502990978,operator=Hillsborough Area Regional Transit|gtfs_stop_code=5769|name=Sheldon Rd @ Sheldon Chase Dr|highway=bus_stop|ntd_id=4041|route_ref=39|source=GO_Sync|gtfs_id=5769|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
16,5765,16;30;34;88,28.026107,-82.583943,28.0260914,-82.5840023,6.0823149848949996,source=GO_Sync|bench=yes|name=Waters Av @ Sheldon Rd|gtfs_stop_code=5765|operator=Hillsborough Area Regional Transit|route_ref=16;30;34;88|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=5765|shade=no|wastebasket=no|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6641815)
17,4670,41;45,28.010652,-82.472592,N/A,N/A,N/A,N/A,N/A
18,6833,24;25,27.860548,-82.49005,27.860915,-82.49153,151.32973389126903,operator=Hillsborough Area Regional Transit|gtfs_stop_code=6833|name=Zemke Av @ Centcom Av|highway=bus_stop|ntd_id=4041|route_ref=24;25|source=GO_Sync|gtfs_id=6833|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
19,6832,24;25,27.860539,-82.49097,27.860873,-82.491749,85.1836486847421,operator=Hillsborough Area Regional Transit|gtfs_stop_code=6832|name=Zemke Av @ Centcom Av|highway=bus_stop|ntd_id=4041|route_ref=24;25|source=GO_Sync|gtfs_id=6832|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
20,5747,39,28.038541,-82.583042,28.039039,-82.583033,55.19549257830261,operator=Hillsborough Area Regional Transit|name=Sheldon @ N Hills Co Health Ctr|gtfs_stop_code=5747|highway=bus_stop|ntd_id=4041|route_ref=39|source=GO_Sync|gtfs_id=5747|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
21,4657,6;18,28.069269,-82.423516,28.0692777,-82.4234892,2.8052952670190487,source=survey|bench=yes|name=Fletcher Av @ 31St St (Uch)|gtfs_stop_code=4657|operator=Hillsborough Area Regional Transit|route_ref=6;18|ntd_id=4041|shelter=yes|highway=bus_stop|gtfs_id=4657|shade=roof|,version 1 = EdHillsman(changeset = 4770999)|version 2 = ktran9(changeset = 5282592)|version 3 = ktran9(changeset = 5282878)|version 4 = EdHillsman(changeset = 5328579)|version 5 = ktran9(changeset = 5557830)
22,4656,6,28.069252,-82.42025,28.0692585,-82.4200706,17.649529822977797,operator=Hillsborough Area Regional Transit|name=Fletcher Av @ Magnolia Dr N/S|gtfs_stop_code=4656|highway=bus_stop|ntd_id=4041|route_ref=6|source=GO_Sync|gtfs_id=4656|,version 1 = ktran9(changeset = 5282878)|version 2 = EdHillsman(changeset = 5295548)|version 3 = EdHillsman(changeset = 5328579)|version 4 = ktran9(changeset = 5557830)
23,1370,30,27.948421,-82.524362,N/A,N/A,N/A,N/A,N/A
24,1360,30,27.948711,-82.524018,N/A,N/A,N/A,N/A,N/A
